dataset,run,entropy_score,value,condition
"(3,4)",0,NMI,0.9866146193201415,fine
"(3,8)",0,NMI,0.9241051034807233,fine
"(3,16)",0,NMI,0.84109887605486,fine
"(4,4)",0,NMI,0.937339228161744,fine
"(4,8)",0,NMI,0.9092430096586247,fine
"(5,4)",0,NMI,0.9307960072327494,fine
"(3,4)",1,NMI,0.9798076117220893,fine
"(3,8)",1,NMI,0.9289019617598745,fine
"(3,16)",1,NMI,0.864797469753156,fine
"(4,4)",1,NMI,0.9023479013731474,fine
"(4,8)",1,NMI,0.8622972528574248,fine
"(5,4)",1,NMI,0.9460072373360204,fine
"(3,4)",2,NMI,0.9682645545731629,fine
"(3,8)",2,NMI,0.9525760004033066,fine
"(3,16)",2,NMI,0.8654596082218559,fine
"(4,4)",2,NMI,0.9066518932459068,fine
"(4,8)",2,NMI,0.8974415764365179,fine
"(5,4)",2,NMI,0.9685821812912528,fine
"(3,4)",3,NMI,0.9572001955137783,fine
"(3,8)",3,NMI,0.9175408973404457,fine
"(3,16)",3,NMI,0.8165080944402108,fine
"(4,4)",3,NMI,0.9605141084966042,fine
"(4,8)",3,NMI,0.8913682360502829,fine
"(5,4)",3,NMI,0.9176037393855776,fine
"(3,4)",4,NMI,0.9557474242868751,fine
"(3,8)",4,NMI,0.8813298186552979,fine
"(3,16)",4,NMI,0.8349835124302801,fine
"(4,4)",4,NMI,0.9236248118621392,fine
"(4,8)",4,NMI,0.9399650754791378,fine
"(5,4)",4,NMI,0.9618041308658866,fine
"(3,4)",0,effectiveness,0.9831565070606361,fine
"(3,8)",0,effectiveness,0.8911104646779688,fine
"(3,16)",0,effectiveness,0.7487856745626305,fine
"(4,4)",0,effectiveness,0.9839619928992581,fine
"(4,8)",0,effectiveness,0.8880700558530205,fine
"(5,4)",0,effectiveness,0.922047931938631,fine
"(3,4)",1,effectiveness,0.9864210869297103,fine
"(3,8)",1,effectiveness,0.9167838217556775,fine
"(3,16)",1,effectiveness,0.7860214389476139,fine
"(4,4)",1,effectiveness,0.9573016049542818,fine
"(4,8)",1,effectiveness,0.8177624779554039,fine
"(5,4)",1,effectiveness,0.9674991104038589,fine
"(3,4)",2,effectiveness,0.9854916563663667,fine
"(3,8)",2,effectiveness,0.964927119903177,fine
"(3,16)",2,effectiveness,0.7938729233125744,fine
"(4,4)",2,effectiveness,0.9535815859625436,fine
"(4,8)",2,effectiveness,0.8586688675641616,fine
"(5,4)",2,effectiveness,0.9720152920205725,fine
"(3,4)",3,effectiveness,0.9809357134037087,fine
"(3,8)",3,effectiveness,0.8897933264751163,fine
"(3,16)",3,effectiveness,0.7153203302086599,fine
"(4,4)",3,effectiveness,0.9909150187989293,fine
"(4,8)",3,effectiveness,0.8472320633952656,fine
"(5,4)",3,effectiveness,0.9613818039116796,fine
"(3,4)",4,effectiveness,0.96832835232691,fine
"(3,8)",4,effectiveness,0.8308800536383657,fine
"(3,16)",4,effectiveness,0.7344752004123719,fine
"(4,4)",4,effectiveness,0.9571032831868965,fine
"(4,8)",4,effectiveness,0.9272688123097794,fine
"(5,4)",4,effectiveness,0.9850450127949106,fine
"(3,4)",0,consistency,0.990097144277397,fine
"(3,8)",0,consistency,0.9596370365668314,fine
"(3,16)",0,consistency,0.959374254239397,fine
"(4,4)",0,consistency,0.8949348106793437,fine
"(4,8)",0,consistency,0.9314502130234801,fine
"(5,4)",0,consistency,0.9397116700301282,fine
"(3,4)",1,consistency,0.9732822262063874,fine
"(3,8)",1,consistency,0.9413447505710805,fine
"(3,16)",1,consistency,0.961122325784097,fine
"(4,4)",1,consistency,0.8533608931737391,fine
"(4,8)",1,consistency,0.9119620720342215,fine
"(5,4)",1,consistency,0.9254494488365624,fine
"(3,4)",2,consistency,0.9516293895195049,fine
"(3,8)",2,consistency,0.9405370748043119,fine
"(3,16)",2,consistency,0.9512363833857415,fine
"(4,4)",2,consistency,0.8641247417207805,fine
"(4,8)",2,consistency,0.9398813910450422,fine
"(5,4)",2,consistency,0.9651732363696715,fine
"(3,4)",3,consistency,0.9345861884065899,fine
"(3,8)",3,consistency,0.9470747485369904,fine
"(3,16)",3,consistency,0.9510403324789414,fine
"(4,4)",3,consistency,0.931923050211418,fine
"(4,8)",3,consistency,0.940355639446471,fine
"(5,4)",3,consistency,0.8776390362835249,fine
"(3,4)",4,consistency,0.943489216713486,fine
"(3,8)",4,consistency,0.9383020849830377,fine
"(3,16)",4,consistency,0.9673607468465568,fine
"(4,4)",4,consistency,0.8924092694418114,fine
"(4,8)",4,consistency,0.9530138423369504,fine
"(5,4)",4,consistency,0.9396346486175786,fine
"(3,4)",0,NMI,0.88920205782985,mixed
"(3,8)",0,NMI,0.9273357881342629,mixed
"(3,16)",0,NMI,0.8080048415034008,mixed
"(4,4)",0,NMI,0.8937799198017375,mixed
"(4,8)",0,NMI,0.8708059659348439,mixed
"(5,4)",0,NMI,0.8746469490105501,mixed
"(3,4)",1,NMI,0.9175155238994426,mixed
"(3,8)",1,NMI,0.9439024389333022,mixed
"(3,16)",1,NMI,0.763006031215947,mixed
"(4,4)",1,NMI,0.9269957791067974,mixed
"(4,8)",1,NMI,0.8619244049280378,mixed
"(5,4)",1,NMI,0.8259944717350219,mixed
"(3,4)",2,NMI,0.9086778758472107,mixed
"(3,8)",2,NMI,0.8799239245336711,mixed
"(3,16)",2,NMI,0.8036826445472554,mixed
"(4,4)",2,NMI,0.8932178250628395,mixed
"(4,8)",2,NMI,0.8318363475804195,mixed
"(5,4)",2,NMI,0.8760422187630692,mixed
"(3,4)",3,NMI,0.8781563895527686,mixed
"(3,8)",3,NMI,0.8647184504847876,mixed
"(3,16)",3,NMI,0.7880015815066027,mixed
"(4,4)",3,NMI,0.9203488707354358,mixed
"(4,8)",3,NMI,0.8594344962990433,mixed
"(5,4)",3,NMI,0.8555628232328177,mixed
"(3,4)",4,NMI,0.9020671175260475,mixed
"(3,8)",4,NMI,0.9028873814226794,mixed
"(3,16)",4,NMI,0.7852618766131644,mixed
"(4,4)",4,NMI,0.918003081576161,mixed
"(4,8)",4,NMI,0.8762037052616017,mixed
"(5,4)",4,NMI,0.8463552322131235,mixed
"(3,4)",0,effectiveness,0.9091803044415323,mixed
"(3,8)",0,effectiveness,0.9186210839941208,mixed
"(3,16)",0,effectiveness,0.7631095431905763,mixed
"(4,4)",0,effectiveness,0.9294988780194,mixed
"(4,8)",0,effectiveness,0.8867947380147713,mixed
"(5,4)",0,effectiveness,0.8911009132540808,mixed
"(3,4)",1,effectiveness,0.9448715681680683,mixed
"(3,8)",1,effectiveness,0.9508174827901331,mixed
"(3,16)",1,effectiveness,0.6913142368148448,mixed
"(4,4)",1,effectiveness,0.9739771023964503,mixed
"(4,8)",1,effectiveness,0.8430225159637097,mixed
"(5,4)",1,effectiveness,0.8607743004239825,mixed
"(3,4)",2,effectiveness,0.9432327698873049,mixed
"(3,8)",2,effectiveness,0.8934056185980441,mixed
"(3,16)",2,effectiveness,0.7571445646638189,mixed
"(4,4)",2,effectiveness,0.9495873835551178,mixed
"(4,8)",2,effectiveness,0.8312059549627144,mixed
"(5,4)",2,effectiveness,0.8919380868885779,mixed
"(3,4)",3,effectiveness,0.898127984170966,mixed
"(3,8)",3,effectiveness,0.8421459456124061,mixed
"(3,16)",3,effectiveness,0.7161017164462644,mixed
"(4,4)",3,effectiveness,0.9649529434039071,mixed
"(4,8)",3,effectiveness,0.8584737483429042,mixed
"(5,4)",3,effectiveness,0.8964499194096721,mixed
"(3,4)",4,effectiveness,0.9151514002269849,mixed
"(3,8)",4,effectiveness,0.885517697444188,mixed
"(3,16)",4,effectiveness,0.7325816755437674,mixed
"(4,4)",4,effectiveness,0.973565846522489,mixed
"(4,8)",4,effectiveness,0.8865016194216743,mixed
"(5,4)",4,effectiveness,0.875902269224426,mixed
"(3,4)",0,consistency,0.8700829333501757,mixed
"(3,8)",0,consistency,0.9362174238839236,mixed
"(3,16)",0,consistency,0.8585129157392108,mixed
"(4,4)",0,consistency,0.8607046010367586,mixed
"(4,8)",0,consistency,0.8553835330265239,mixed
"(5,4)",0,consistency,0.8587896053043338,mixed
"(3,4)",1,consistency,0.8916989404493619,mixed
"(3,8)",1,consistency,0.9370872514146692,mixed
"(3,16)",1,consistency,0.8512876488146344,mixed
"(4,4)",1,consistency,0.8843383238268799,mixed
"(4,8)",1,consistency,0.881693354841248,mixed
"(5,4)",1,consistency,0.7939160687763667,mixed
"(3,4)",2,consistency,0.8765653130947217,mixed
"(3,8)",2,consistency,0.8668430654403192,mixed
"(3,16)",2,consistency,0.8563163425417663,mixed
"(4,4)",2,consistency,0.8431656883046312,mixed
"(4,8)",2,consistency,0.8324676971125112,mixed
"(5,4)",2,consistency,0.8607030132784941,mixed
"(3,4)",3,consistency,0.8590536867210588,mixed
"(3,8)",3,consistency,0.8885343289241643,mixed
"(3,16)",3,consistency,0.8759510452589442,mixed
"(4,4)",3,consistency,0.8796861768438748,mixed
"(4,8)",3,consistency,0.8603973970776699,mixed
"(5,4)",3,consistency,0.8182427570696651,mixed
"(3,4)",4,consistency,0.8893517033289755,mixed
"(3,8)",4,consistency,0.9209521218128267,mixed
"(3,16)",4,consistency,0.8461056239871421,mixed
"(4,4)",4,consistency,0.8684399959975548,mixed
"(4,8)",4,consistency,0.8661422921969851,mixed
"(5,4)",4,consistency,0.8187365801265977,mixed
"(3,4)",0,NMI,0.6232825923596778,coarse
"(3,8)",0,NMI,0.5346005481014205,coarse
"(3,16)",0,NMI,0.5554495652929954,coarse
"(4,4)",0,NMI,0.6441269282552349,coarse
"(4,8)",0,NMI,0.5698997900970589,coarse
"(5,4)",0,NMI,0.6906468132668686,coarse
"(3,4)",1,NMI,0.6448021572802013,coarse
"(3,8)",1,NMI,0.5706777783784814,coarse
"(3,16)",1,NMI,0.6105499457196221,coarse
"(4,4)",1,NMI,0.6365812355800649,coarse
"(4,8)",1,NMI,0.5928759740859917,coarse
"(5,4)",1,NMI,0.6209151441135656,coarse
"(3,4)",2,NMI,0.6549202111278457,coarse
"(3,8)",2,NMI,0.6189677799271194,coarse
"(3,16)",2,NMI,0.5753480976947284,coarse
"(4,4)",2,NMI,0.5927414199280416,coarse
"(4,8)",2,NMI,0.5706184444014374,coarse
"(5,4)",2,NMI,0.6578397422431173,coarse
"(3,4)",3,NMI,0.6567239307274556,coarse
"(3,8)",3,NMI,0.6368387633978779,coarse
"(3,16)",3,NMI,0.5451870820132576,coarse
"(4,4)",3,NMI,0.5820563734331131,coarse
"(4,8)",3,NMI,0.5871150701182023,coarse
"(5,4)",3,NMI,0.6466265916081192,coarse
"(3,4)",4,NMI,0.6764398693553954,coarse
"(3,8)",4,NMI,0.5982709448895204,coarse
"(3,16)",4,NMI,0.5986939568612702,coarse
"(4,4)",4,NMI,0.586273134154518,coarse
"(4,8)",4,NMI,0.5681132757971119,coarse
"(5,4)",4,NMI,0.6241589136349521,coarse
"(3,4)",0,effectiveness,0.4701047936970725,coarse
"(3,8)",0,effectiveness,0.36732883014615136,coarse
"(3,16)",0,effectiveness,0.3880027328079786,coarse
"(4,4)",0,effectiveness,0.5140526778272694,coarse
"(4,8)",0,effectiveness,0.42168973213887295,coarse
"(5,4)",0,effectiveness,0.6018008656147038,coarse
"(3,4)",1,effectiveness,0.5186609582525117,coarse
"(3,8)",1,effectiveness,0.4029152644918146,coarse
"(3,16)",1,effectiveness,0.4524792701254914,coarse
"(4,4)",1,effectiveness,0.5054295094481035,coarse
"(4,8)",1,effectiveness,0.44851287595064926,coarse
"(5,4)",1,effectiveness,0.49720417725037935,coarse
"(3,4)",2,effectiveness,0.5260216028951612,coarse
"(3,8)",2,effectiveness,0.45881519754592825,coarse
"(3,16)",2,effectiveness,0.41014798159465427,coarse
"(4,4)",2,effectiveness,0.44386624060166013,coarse
"(4,8)",2,effectiveness,0.421283122625253,coarse
"(5,4)",2,effectiveness,0.5563413064598544,coarse
"(3,4)",3,effectiveness,0.5088742419401664,coarse
"(3,8)",3,effectiveness,0.4870778478937805,coarse
"(3,16)",3,effectiveness,0.3761738484423952,coarse
