dataset,run,value,hierarchy_level,condition
"(3,4)",0,0.9856800877265682,0,fine
"(3,4)",0,0.9888138194624041,1,fine
"(3,4)",0,0.981913323433676,2,fine
"(3,8)",0,0.9494051645920438,0,fine
"(3,8)",0,0.9231191757710167,1,fine
"(3,8)",0,0.9130282627422445,2,fine
"(3,16)",0,0.8433813004956711,0,fine
"(3,16)",0,0.8552915470339905,1,fine
"(3,16)",0,0.8289104888146825,2,fine
"(4,4)",0,0.9390561813430861,0,fine
"(4,4)",0,0.9304037496183144,1,fine
"(4,4)",0,0.9285667243539972,2,fine
"(4,4)",0,0.9332253041305465,3,fine
"(4,8)",0,0.9158315496624813,0,fine
"(4,8)",0,0.9186123805271883,1,fine
"(4,8)",0,0.913791502340989,2,fine
"(4,8)",0,0.9018772739264472,3,fine
"(5,4)",0,0.9576153879099693,0,fine
"(5,4)",0,0.9526996387776567,1,fine
"(5,4)",0,0.9519158506954942,2,fine
"(5,4)",0,0.9422816414164312,3,fine
"(5,4)",0,0.9433746351731673,4,fine
"(3,4)",1,1.0,0,fine
"(3,4)",1,0.9829220646619762,1,fine
"(3,4)",1,0.9779776154966161,2,fine
"(3,8)",1,0.8984099879341567,0,fine
"(3,8)",1,0.9243911261613162,1,fine
"(3,8)",1,0.9234399757519294,2,fine
"(3,16)",1,0.8576977946663876,0,fine
"(3,16)",1,0.878195323785088,1,fine
"(3,16)",1,0.8548246852290536,2,fine
"(4,4)",1,0.8214758108771528,0,fine
"(4,4)",1,0.8874523511308625,1,fine
"(4,4)",1,0.8959385995199157,2,fine
"(4,4)",1,0.9077957599044986,3,fine
"(4,8)",1,0.8624285963321194,0,fine
"(4,8)",1,0.8715752995416682,1,fine
"(4,8)",1,0.867761902383477,2,fine
"(4,8)",1,0.8500837106995035,3,fine
"(5,4)",1,0.9014624540825672,0,fine
"(5,4)",1,0.929580427175932,1,fine
"(5,4)",1,0.9412953436008354,2,fine
"(5,4)",1,0.9439663024340912,3,fine
"(5,4)",1,0.9433917731329137,4,fine
"(3,4)",2,0.9659334237268277,0,fine
"(3,4)",2,0.9706114521770959,1,fine
"(3,4)",2,0.9644214172640887,2,fine
"(3,8)",2,0.9331822863755257,0,fine
"(3,8)",2,0.9484450782736746,1,fine
"(3,8)",2,0.9508044054740826,2,fine
"(3,16)",2,0.8435360766060443,0,fine
"(3,16)",2,0.8714541726962057,1,fine
"(3,16)",2,0.8565307895697238,2,fine
"(4,4)",2,0.8164468454245105,0,fine
"(4,4)",2,0.9057485427630974,1,fine
"(4,4)",2,0.9024840368016916,2,fine
"(4,4)",2,0.9011349679087594,3,fine
"(4,8)",2,0.8620809926852282,0,fine
"(4,8)",2,0.9023133447204614,1,fine
"(4,8)",2,0.8962746057850473,2,fine
"(4,8)",2,0.8836689446652273,3,fine
"(5,4)",2,0.9474459430758412,0,fine
"(5,4)",2,0.9689361517472759,1,fine
"(5,4)",2,0.9777737850495676,2,fine
"(5,4)",2,0.9756376721577301,3,fine
"(5,4)",2,0.9704323831445172,4,fine
"(3,4)",3,0.9328696682358041,0,fine
"(3,4)",3,0.93347978183186,1,fine
"(3,4)",3,0.9681450829677428,2,fine
"(3,8)",3,0.9159502991403591,0,fine
"(3,8)",3,0.917523834250726,1,fine
"(3,8)",3,0.9113091899122502,2,fine
"(3,16)",3,0.8311620355452587,0,fine
"(3,16)",3,0.8326613185449493,1,fine
"(3,16)",3,0.80219071802455,2,fine
"(4,4)",3,0.9166622486032036,0,fine
"(4,4)",3,0.9579387214408472,1,fine
"(4,4)",3,0.953778866832143,2,fine
"(4,4)",3,0.9588542709645705,3,fine
"(4,8)",3,0.8145184778128862,0,fine
"(4,8)",3,0.8924225887688636,1,fine
"(4,8)",3,0.8937105093253485,2,fine
"(4,8)",3,0.8768347879893549,3,fine
"(5,4)",3,0.8556722194949796,0,fine
"(5,4)",3,0.8997826822393279,1,fine
"(5,4)",3,0.9209958093558895,2,fine
"(5,4)",3,0.9199819523348757,3,fine
"(5,4)",3,0.9142744940359662,4,fine
"(3,4)",4,0.956083447183888,0,fine
"(3,4)",4,0.9450100957575849,1,fine
"(3,4)",4,0.9647388642248487,2,fine
"(3,8)",4,0.8865613924860382,0,fine
"(3,8)",4,0.8857160221484847,1,fine
"(3,8)",4,0.8737000592290894,2,fine
"(3,16)",4,0.8478769774170518,0,fine
"(3,16)",4,0.8538349906255298,1,fine
"(3,16)",4,0.8207782698521144,2,fine
"(4,4)",4,0.8785422351164967,0,fine
"(4,4)",4,0.9227978025854632,1,fine
"(4,4)",4,0.9204497585757305,2,fine
"(4,4)",4,0.9224134388870509,3,fine
"(4,8)",4,0.8977706094952158,0,fine
"(4,8)",4,0.9312743854056253,1,fine
"(4,8)",4,0.9383803410269363,2,fine
"(4,8)",4,0.9363032335510582,3,fine
"(5,4)",4,0.9321967314506152,0,fine
"(5,4)",4,0.9537895887497879,1,fine
"(5,4)",4,0.9633230708033659,2,fine
"(5,4)",4,0.9614421182090825,3,fine
"(5,4)",4,0.9608272099865224,4,fine
"(3,4)",0,0.9498550528009375,0,mixed
"(3,4)",0,0.9206712595904214,1,mixed
"(3,4)",0,0.8927979956224779,2,mixed
"(3,8)",0,0.9190965689129088,0,mixed
"(3,8)",0,0.9377247142495947,1,mixed
"(3,8)",0,0.9245980964911682,2,mixed
"(3,16)",0,0.8180166377113952,0,mixed
"(3,16)",0,0.8365416534341353,1,mixed
"(3,16)",0,0.8007302233037059,2,mixed
"(4,4)",0,0.8943237432562247,0,mixed
"(4,4)",0,0.9225706831405281,1,mixed
"(4,4)",0,0.906185788276286,2,mixed
"(4,4)",0,0.8974994043272231,3,mixed
"(4,8)",0,0.9153627532267146,0,mixed
"(4,8)",0,0.9182535487747063,1,mixed
"(4,8)",0,0.8941506948999752,2,mixed
"(4,8)",0,0.8722582064794873,3,mixed
"(5,4)",0,0.9146180789821218,0,mixed
"(5,4)",0,0.9255773223610432,1,mixed
"(5,4)",0,0.9262247064307539,2,mixed
"(5,4)",0,0.8995630609949181,3,mixed
"(5,4)",0,0.8888667318321924,4,mixed
"(3,4)",1,0.9393434107588567,0,mixed
"(3,4)",1,0.9398158124666691,1,mixed
"(3,4)",1,0.9234671136243281,2,mixed
"(3,8)",1,0.9576090040454892,0,mixed
"(3,8)",1,0.959453486124922,1,mixed
"(3,8)",1,0.9413750485894438,2,mixed
"(3,16)",1,0.7865940786317092,0,mixed
"(3,16)",1,0.8030132926802996,1,mixed
"(3,16)",1,0.7572180255912696,2,mixed
"(4,4)",1,0.9219444590827104,0,mixed
"(4,4)",1,0.9439793682246794,1,mixed
"(4,4)",1,0.9342094749555057,2,mixed
"(4,4)",1,0.9213084849075459,3,mixed
"(4,8)",1,0.9028580985323493,0,mixed
"(4,8)",1,0.9057169080774465,1,mixed
"(4,8)",1,0.8876168012075318,2,mixed
"(4,8)",1,0.8660102410182329,3,mixed
"(5,4)",1,0.8318113983218449,0,mixed
"(5,4)",1,0.8780046636065022,1,mixed
"(5,4)",1,0.8789072919547893,2,mixed
"(5,4)",1,0.8522892127592242,3,mixed
"(5,4)",1,0.8334294144563973,4,mixed
"(3,4)",2,0.9626943878434941,0,mixed
"(3,4)",2,0.924292005106815,1,mixed
"(3,4)",2,0.9130851800536538,2,mixed
"(3,8)",2,0.889126151076827,0,mixed
"(3,8)",2,0.8953955936909129,1,mixed
"(3,8)",2,0.8790334196149212,2,mixed
"(3,16)",2,0.8402969364599164,0,mixed
"(3,16)",2,0.8367667675539402,1,mixed
"(3,16)",2,0.7967142044239232,2,mixed
"(4,4)",2,0.8785077790541456,0,mixed
"(4,4)",2,0.9194789032783369,1,mixed
"(4,4)",2,0.9071376145023058,2,mixed
"(4,4)",2,0.8883421279618037,3,mixed
"(4,8)",2,0.8888478686747641,0,mixed
"(4,8)",2,0.8763969937754763,1,mixed
"(4,8)",2,0.8573968019910378,2,mixed
"(4,8)",2,0.8357677868253921,3,mixed
"(5,4)",2,0.8936150412494303,0,mixed
"(5,4)",2,0.9073694166770903,1,mixed
"(5,4)",2,0.9165389665352336,2,mixed
"(5,4)",2,0.9007440180893865,3,mixed
"(5,4)",2,0.8909960326293841,4,mixed
"(3,4)",3,0.9504481690956349,0,mixed
"(3,4)",3,0.9074039922922904,1,mixed
"(3,4)",3,0.8856052060031535,2,mixed
"(3,8)",3,0.9145206453541824,0,mixed
"(3,8)",3,0.8826599205711425,1,mixed
"(3,8)",3,0.8639954362194164,2,mixed
"(3,16)",3,0.8014889991815329,0,mixed
"(3,16)",3,0.8162404832072466,1,mixed
"(3,16)",3,0.7823792902517274,2,mixed
"(4,4)",3,0.923319493378727,0,mixed
"(4,4)",3,0.9390360880125428,1,mixed
"(4,4)",3,0.938731018473336,2,mixed
"(4,4)",3,0.9085873549534556,3,mixed
"(4,8)",3,0.8965616124502875,0,mixed
"(4,8)",3,0.886114360267946,1,mixed
"(4,8)",3,0.8781221081602743,2,mixed
"(4,8)",3,0.8593023440892978,3,mixed
"(5,4)",3,0.907411893883822,0,mixed
"(5,4)",3,0.899930358266235,1,mixed
"(5,4)",3,0.8959516309592702,2,mixed
"(5,4)",3,0.8754307052232229,3,mixed
"(5,4)",3,0.8580262316426767,4,mixed
"(3,4)",4,0.9422019192300911,0,mixed
"(3,4)",4,0.9457617159470556,1,mixed
"(3,4)",4,0.9117649399237202,2,mixed
"(3,8)",4,0.9209201863732802,0,mixed
"(3,8)",4,0.9112231768467917,1,mixed
"(3,8)",4,0.9019570140709128,2,mixed
"(3,16)",4,0.8018967126808824,0,mixed
"(3,16)",4,0.8128377223489618,1,mixed
"(3,16)",4,0.7763908874389849,2,mixed
"(4,4)",4,0.8768254955953025,0,mixed
"(4,4)",4,0.9236581417236477,1,mixed
"(4,4)",4,0.9318887256250362,2,mixed
"(4,4)",4,0.9065077795461587,3,mixed
"(4,8)",4,0.893438072820143,0,mixed
"(4,8)",4,0.9073202810594481,1,mixed
"(4,8)",4,0.897105806846477,2,mixed
"(4,8)",4,0.8754091017827046,3,mixed
"(5,4)",4,0.8084502393965084,0,mixed
"(5,4)",4,0.8811076874671409,1,mixed
"(5,4)",4,0.8822680637638254,2,mixed
"(5,4)",4,0.866573482153824,3,mixed
"(5,4)",4,0.8663835744850061,4,mixed
"(3,4)",0,0.9914736363819635,0,coarse
"(3,4)",0,0.7064821942931154,1,coarse
"(3,4)",0,0.6353041854584054,2,coarse
"(3,8)",0,0.6113403700211301,0,coarse
"(3,8)",0,0.600970227802024,1,coarse
"(3,8)",0,0.537226095800425,2,coarse
"(3,16)",0,0.9178851135088006,0,coarse
"(3,16)",0,0.7005078555958361,1,coarse
"(3,16)",0,0.5409655583803037,2,coarse
"(4,4)",0,0.9476177069204584,0,coarse
"(4,4)",0,0.7528672758297086,1,coarse
"(4,4)",0,0.6898953300833077,2,coarse
"(4,4)",0,0.6731598195268611,3,coarse
"(4,8)",0,0.9361382298340459,0,coarse
"(4,8)",0,0.7244335907339886,1,coarse
"(4,8)",0,0.6058515373129151,2,coarse
"(4,8)",0,0.5851117195082718,3,coarse
"(5,4)",0,0.8769840430199399,0,coarse
"(5,4)",0,0.7882824030733266,1,coarse
"(5,4)",0,0.7498099128558552,2,coarse
"(5,4)",0,0.7179380163091241,3,coarse
"(5,4)",0,0.729009498321856,4,coarse
"(3,4)",1,0.9468786702699744,0,coarse
"(3,4)",1,0.698119272850252,1,coarse
"(3,4)",1,0.6795208759312331,2,coarse
"(3,8)",1,0.9624745921491199,0,coarse
"(3,8)",1,0.704186276726539,1,coarse
"(3,8)",1,0.5460843240534686,2,coarse
"(3,16)",1,0.8340718300261939,0,coarse
"(3,16)",1,0.7088510213180963,1,coarse
"(3,16)",1,0.6136713627240747,2,coarse
"(4,4)",1,0.9622661421264853,0,coarse
"(4,4)",1,0.7540861862677275,1,coarse
"(4,4)",1,0.6632244802026298,2,coarse
"(4,4)",1,0.6807652758727769,3,coarse
"(4,8)",1,0.8979540817939946,0,coarse
"(4,8)",1,0.7227736523575753,1,coarse
"(4,8)",1,0.6248159807860444,2,coarse
"(4,8)",1,0.6144551979160321,3,coarse
"(5,4)",1,0.9254330434175184,0,coarse
"(5,4)",1,0.7572038142401184,1,coarse
"(5,4)",1,0.6805346088702995,2,coarse
"(5,4)",1,0.6503445709474601,3,coarse
"(5,4)",1,0.6640268376196836,4,coarse
"(3,4)",2,0.9807536368102877,0,coarse
"(3,4)",2,0.7095488524402537,1,coarse
"(3,4)",2,0.6872203358806638,2,coarse
"(3,8)",2,0.9630421065645495,0,coarse
"(3,8)",2,0.7124426284445854,1,coarse
"(3,8)",2,0.6249950328893213,2,coarse
"(3,16)",2,0.9154080791717267,0,coarse
"(3,16)",2,0.7006207898435342,1,coarse
"(3,16)",2,0.5713534517827346,2,coarse
"(4,4)",2,0.9676377221776031,0,coarse
"(4,4)",2,0.7280345288773631,1,coarse
"(4,4)",2,0.6256365855961407,2,coarse
"(4,4)",2,0.6180037242750107,3,coarse
"(4,8)",2,0.9504484399368197,0,coarse
"(4,8)",2,0.7203662583473308,1,coarse
"(4,8)",2,0.6130669946000503,2,coarse
"(4,8)",2,0.5863165836009193,3,coarse
"(5,4)",2,0.8771700766200415,0,coarse
"(5,4)",2,0.7478034438472272,1,coarse
"(5,4)",2,0.6992341960283032,2,coarse
"(5,4)",2,0.686880055294086,3,coarse
"(5,4)",2,0.7180076418055932,4,coarse
"(3,4)",3,0.9641177833306592,0,coarse
"(3,4)",3,0.7170815987024168,1,coarse
"(3,4)",3,0.6832333501471294,2,coarse
"(3,8)",3,0.9372944240137249,0,coarse
"(3,8)",3,0.7206641043041713,1,coarse
"(3,8)",3,0.6475408683347327,2,coarse
"(3,16)",3,0.9379556091842536,0,coarse
"(3,16)",3,0.7135449661517556,1,coarse
"(3,16)",3,0.5241854735700299,2,coarse
"(4,4)",3,0.9744176881757594,0,coarse
"(4,4)",3,0.7384351286115128,1,coarse
"(4,4)",3,0.6159716161337901,2,coarse
"(4,4)",3,0.6116316245856431,3,coarse
"(4,8)",3,0.9420012828823321,0,coarse
"(4,8)",3,0.7306774818639263,1,coarse
"(4,8)",3,0.6171263751615239,2,coarse
"(4,8)",3,0.608504351382902,3,coarse
"(5,4)",3,0.8510246414804791,0,coarse
"(5,4)",3,0.7574236937517189,1,coarse
"(5,4)",3,0.6961088810290791,2,coarse
"(5,4)",3,0.6733681956291816,3,coarse
"(5,4)",3,0.6971684305493098,4,coarse
"(3,4)",4,0.9513304116725105,0,coarse
"(3,4)",4,0.7462879711721255,1,coarse
"(3,4)",4,0.718729186550553,2,coarse
"(3,8)",4,0.9696041304739436,0,coarse
"(3,8)",4,0.7180257229261879,1,coarse
"(3,8)",4,0.586643867149253,2,coarse
"(3,16)",4,0.8616680846622898,0,coarse
"(3,16)",4,0.7027259894938309,1,coarse
"(3,16)",4,0.6002423204013696,2,coarse
"(4,4)",4,0.978176944694887,0,coarse
"(4,4)",4,0.7287759595061578,1,coarse
"(4,4)",4,0.6267717146808953,2,coarse
"(4,4)",4,0.6045526083594008,3,coarse
"(4,8)",4,0.9298969154111936,0,coarse
"(4,8)",4,0.72474011406028,1,coarse
"(4,8)",4,0.6046265684624609,2,coarse
"(4,8)",4,0.5848514693413687,3,coarse
"(5,4)",4,0.9111925962408401,0,coarse
"(5,4)",4,0.7419951923227699,1,coarse
"(5,4)",4,0.6656524786373967,2,coarse
"(5,4)",4,0.6527336538175018,3,coarse
"(5,4)",4,0.6789709483693194,4,coarse
