dataset,run,value,hierarchy_level,condition
"(3,4)",0,0.9717645052607987,0,fine
"(3,4)",0,0.9865693213463814,1,fine
"(3,4)",0,0.9905948491583799,2,fine
"(3,8)",0,0.9325965772815441,0,fine
"(3,8)",0,0.93469542656161,1,fine
"(3,8)",0,0.9618026208798696,2,fine
"(3,16)",0,0.8600081098387302,0,fine
"(3,16)",0,0.9461318986265436,1,fine
"(3,16)",0,0.9585380574314101,2,fine
"(4,4)",0,0.8851139568651906,0,fine
"(4,4)",0,0.8735482525684238,1,fine
"(4,4)",0,0.8701879796471732,2,fine
"(4,4)",0,0.8810877375073134,3,fine
"(4,8)",0,0.8913852371198339,0,fine
"(4,8)",0,0.918604048488772,1,fine
"(4,8)",0,0.9211447941898789,2,fine
"(4,8)",0,0.9266575117547015,3,fine
"(5,4)",0,0.9256023892990279,0,fine
"(5,4)",0,0.9346958020444877,1,fine
"(5,4)",0,0.9366434587223539,2,fine
"(5,4)",0,0.9267970674406364,3,fine
"(5,4)",0,0.9348967870511322,4,fine
"(3,4)",1,1.0,0,fine
"(3,4)",1,0.967840156319026,1,fine
"(3,4)",1,0.9629737476175981,2,fine
"(3,8)",1,0.8586089238056067,0,fine
"(3,8)",1,0.9231453143755648,1,fine
"(3,8)",1,0.9398408487450977,2,fine
"(3,16)",1,0.8617464616965987,0,fine
"(3,16)",1,0.944933288337996,1,fine
"(3,16)",1,0.961106548291468,2,fine
"(4,4)",1,0.699406241266872,0,fine
"(4,4)",1,0.8077817416690948,1,fine
"(4,4)",1,0.8278705479557878,2,fine
"(4,4)",1,0.8439296058667963,3,fine
"(4,8)",1,0.8354699271318238,0,fine
"(4,8)",1,0.8858300024461987,1,fine
"(4,8)",1,0.901852419201269,2,fine
"(4,8)",1,0.9047942369981409,3,fine
"(5,4)",1,0.8446368401894023,0,fine
"(5,4)",1,0.8820457422202806,1,fine
"(5,4)",1,0.9035570756830392,2,fine
"(5,4)",1,0.914188246983928,3,fine
"(5,4)",1,0.921678731563002,4,fine
"(3,4)",2,0.9341114449401313,0,fine
"(3,4)",2,0.9429009621584402,1,fine
"(3,4)",2,0.939454172131888,2,fine
"(3,8)",2,0.874734525362419,0,fine
"(3,8)",2,0.9192767208606398,1,fine
"(3,8)",2,0.9397059118590824,2,fine
"(3,16)",2,0.8145313850795857,0,fine
"(3,16)",2,0.924009611177231,1,fine
"(3,16)",2,0.9526684709338374,2,fine
"(4,4)",2,0.7027999653164165,0,fine
"(4,4)",2,0.847324619281818,1,fine
"(4,4)",2,0.8401949948532699,2,fine
"(4,4)",2,0.8467666934282289,3,fine
"(4,8)",2,0.82257649093101,0,fine
"(4,8)",2,0.9020882729478452,1,fine
"(4,8)",2,0.9227664021361996,2,fine
"(4,8)",2,0.9404258712816016,3,fine
"(5,4)",2,0.9057638764682443,0,fine
"(5,4)",2,0.9415242099534727,1,fine
"(5,4)",2,0.9602378172610246,2,fine
"(5,4)",2,0.9602995751581056,3,fine
"(5,4)",2,0.9606933687655542,4,fine
"(3,4)",3,0.8741853178267083,0,fine
"(3,4)",3,0.8799906291528614,1,fine
"(3,4)",3,0.9507852538375988,2,fine
"(3,8)",3,0.9170452524857711,0,fine
"(3,8)",3,0.9259799849352308,1,fine
"(3,8)",3,0.9460776355457278,2,fine
"(3,16)",3,0.8764071019995111,0,fine
"(3,16)",3,0.940882052003937,1,fine
"(3,16)",3,0.9487097970645897,2,fine
"(4,4)",3,0.8461463171769925,0,fine
"(4,4)",3,0.9192729267950338,1,fine
"(4,4)",3,0.9136646898103464,2,fine
"(4,4)",3,0.9255320104329043,3,fine
"(4,8)",3,0.7617625585210084,0,fine
"(4,8)",3,0.8932853435281319,1,fine
"(4,8)",3,0.9281766974470738,2,fine
"(4,8)",3,0.9396563166345814,3,fine
"(5,4)",3,0.7477509801582815,0,fine
"(5,4)",3,0.8217999164858956,1,fine
"(5,4)",3,0.8593616325536728,2,fine
"(5,4)",3,0.8643900269955216,3,fine
"(5,4)",3,0.8615916487773705,4,fine
"(3,4)",4,0.9158619475902726,0,fine
"(3,4)",4,0.8957527384455813,1,fine
"(3,4)",4,0.9537693042764237,2,fine
"(3,8)",4,0.9060903132386233,0,fine
"(3,8)",4,0.9144139514271453,1,fine
"(3,8)",4,0.9371224937128312,2,fine
"(3,16)",4,0.889225077148309,0,fine
"(3,16)",4,0.9450918669904171,1,fine
"(3,16)",4,0.9685553338338799,2,fine
"(4,4)",4,0.7942219537647557,0,fine
"(4,4)",4,0.8686812479422908,1,fine
"(4,4)",4,0.8703671839966665,2,fine
"(4,4)",4,0.8816497780692474,3,fine
"(4,8)",4,0.8483300655541374,0,fine
"(4,8)",4,0.9136390042668836,1,fine
"(4,8)",4,0.9408725680201954,2,fine
"(4,8)",4,0.954299874746187,3,fine
"(5,4)",4,0.8730041936629473,0,fine
"(5,4)",4,0.9126233492430674,1,fine
"(5,4)",4,0.9309638331717134,2,fine
"(5,4)",4,0.9289161828578606,3,fine
"(5,4)",4,0.9324677486250902,4,fine
"(3,4)",0,0.9044989982900765,0,mixed
"(3,4)",0,0.8833559993252269,1,mixed
"(3,4)",0,0.8411593080716818,2,mixed
"(3,8)",0,0.8882251646004018,0,mixed
"(3,8)",0,0.9291655157251496,1,mixed
"(3,8)",0,0.9315552839565611,2,mixed
"(3,16)",0,0.7470349955940798,0,mixed
"(3,16)",0,0.8589012824343908,1,mixed
"(3,16)",0,0.8521272622344401,2,mixed
"(4,4)",0,0.8088477416436658,0,mixed
"(4,4)",0,0.8685403014738442,1,mixed
"(4,4)",0,0.8480239132430102,2,mixed
"(4,4)",0,0.8390677818016933,3,mixed
"(4,8)",0,0.8628199364900582,0,mixed
"(4,8)",0,0.8780793534028823,1,mixed
"(4,8)",0,0.8568081479852133,2,mixed
"(4,8)",0,0.8438201675833029,3,mixed
"(5,4)",0,0.8426693510099995,0,mixed
"(5,4)",0,0.8768434869144947,1,mixed
"(5,4)",0,0.8878300669246746,2,mixed
"(5,4)",0,0.8545798882319854,3,mixed
"(5,4)",0,0.8265838541364343,4,mixed
"(3,4)",1,0.8856244521432888,0,mixed
"(3,4)",1,0.8961640348801825,1,mixed
"(3,4)",1,0.8697388201422458,2,mixed
"(3,8)",1,0.9186658439702011,0,mixed
"(3,8)",1,0.941739144716217,1,mixed
"(3,8)",1,0.9297346978539075,2,mixed
"(3,16)",1,0.7482122599910883,0,mixed
"(3,16)",1,0.8428291587025969,1,mixed
"(3,16)",1,0.8462435408808662,2,mixed
"(4,4)",1,0.8551919860253693,0,mixed
"(4,4)",1,0.893902391506988,1,mixed
"(4,4)",1,0.877794653491587,2,mixed
"(4,4)",1,0.8578556653015688,3,mixed
"(4,8)",1,0.8679709557258675,0,mixed
"(4,8)",1,0.8960831644131855,1,mixed
"(4,8)",1,0.8828110424683608,2,mixed
"(4,8)",1,0.8724644608663232,3,mixed
"(5,4)",1,0.712052315120102,0,mixed
"(5,4)",1,0.7979226365339576,1,mixed
"(5,4)",1,0.8095476624253118,2,mixed
"(5,4)",1,0.788149011959365,3,mixed
"(5,4)",1,0.7623461885365246,4,mixed
"(3,4)",2,0.9280720903862666,0,mixed
"(3,4)",2,0.8728233784414372,1,mixed
"(3,4)",2,0.8516279379745268,2,mixed
"(3,8)",2,0.820565908599339,0,mixed
"(3,8)",2,0.8620310922559119,1,mixed
"(3,8)",2,0.8571823190477685,2,mixed
"(3,16)",2,0.8029151121037965,0,mixed
"(3,16)",2,0.8712093559737777,1,mixed
"(3,16)",2,0.8484719711560104,2,mixed
"(4,4)",2,0.7833382725679733,0,mixed
"(4,4)",2,0.8529024475662735,1,mixed
"(4,4)",2,0.8394165773278595,2,mixed
"(4,4)",2,0.810297548633321,3,mixed
"(4,8)",2,0.8578578109388479,0,mixed
"(4,8)",2,0.8465844889016128,1,mixed
"(4,8)",2,0.830798743001522,2,mixed
"(4,8)",2,0.8221084024822423,3,mixed
"(5,4)",2,0.8170628290845948,0,mixed
"(5,4)",2,0.8567508912542753,1,mixed
"(5,4)",2,0.8788049503594679,2,mixed
"(5,4)",2,0.8567084922270395,3,mixed
"(5,4)",2,0.8333995166620184,4,mixed
"(3,4)",3,0.9055752570853641,0,mixed
"(3,4)",3,0.8498620886787058,1,mixed
"(3,4)",3,0.8330091601607899,2,mixed
"(3,8)",3,0.8999340462373244,0,mixed
"(3,8)",3,0.8899900603202135,1,mixed
"(3,8)",3,0.8789350353489765,2,mixed
"(3,16)",3,0.7377544939343894,0,mixed
"(3,16)",3,0.8476467253919797,1,mixed
"(3,16)",3,0.8737457730835544,2,mixed
"(4,4)",3,0.8575612613960963,0,mixed
"(4,4)",3,0.8850782551627865,1,mixed
"(4,4)",3,0.8874464313895443,2,mixed
"(4,4)",3,0.8405500455058935,3,mixed
"(4,8)",3,0.8318646356954218,0,mixed
"(4,8)",3,0.8511235574046783,1,mixed
"(4,8)",3,0.8560730226377374,2,mixed
"(4,8)",3,0.8510780695248419,3,mixed
"(5,4)",3,0.830515991162853,0,mixed
"(5,4)",3,0.8327006676733169,1,mixed
"(5,4)",3,0.8325158522761946,2,mixed
"(5,4)",3,0.8107378137156245,3,mixed
"(5,4)",3,0.7848831312765712,4,mixed
"(3,4)",4,0.8907200120313299,0,mixed
"(3,4)",4,0.9052562542836327,1,mixed
"(3,4)",4,0.8634003556016113,2,mixed
"(3,8)",4,0.8978892379162038,0,mixed
"(3,8)",4,0.9182531983763866,1,mixed
"(3,8)",4,0.9139779855237702,2,mixed
"(3,16)",4,0.7583456471001758,0,mixed
"(3,16)",4,0.8444905011244023,1,mixed
"(3,16)",4,0.8389423310488983,2,mixed
"(4,4)",4,0.7806672001160102,0,mixed
"(4,4)",4,0.8591368672255372,1,mixed
"(4,4)",4,0.8744569369162352,2,mixed
"(4,4)",4,0.8331151345998452,3,mixed
"(4,8)",4,0.8346978333195474,0,mixed
"(4,8)",4,0.8770762646448627,1,mixed
"(4,8)",4,0.8701045269743788,2,mixed
"(4,8)",4,0.8537770408618961,3,mixed
"(5,4)",4,0.6851435635834957,0,mixed
"(5,4)",4,0.8001324819701119,1,mixed
"(5,4)",4,0.8192730434748381,2,mixed
"(5,4)",4,0.8099026251553045,3,mixed
"(5,4)",4,0.7982404954421625,4,mixed
"(3,4)",0,0.9830914412837982,0,coarse
"(3,4)",0,0.9590577268855662,1,coarse
"(3,4)",0,0.8758329417021369,2,coarse
"(3,8)",0,0.978534726347227,0,coarse
"(3,8)",0,0.9925046241317017,1,coarse
"(3,8)",0,0.9759312401280228,2,coarse
"(3,16)",0,0.9154201569578114,0,coarse
"(3,16)",0,0.9814831265616244,1,coarse
"(3,16)",0,0.9761157402079077,2,coarse
"(4,4)",0,0.9215668602743162,0,coarse
"(4,4)",0,0.8863675104628812,1,coarse
"(4,4)",0,0.8636104127910156,2,coarse
"(4,4)",0,0.8300292352011721,3,coarse
"(4,8)",0,0.89641414184911,0,coarse
"(4,8)",0,0.9031348463206965,1,coarse
"(4,8)",0,0.8857927507225661,2,coarse
"(4,8)",0,0.8682813824671495,3,coarse
"(5,4)",0,0.7872102311247028,0,coarse
"(5,4)",0,0.8126024494250883,1,coarse
"(5,4)",0,0.8154374847961859,2,coarse
"(5,4)",0,0.7953023171918239,3,coarse
"(5,4)",0,0.7972789939245342,4,coarse
"(3,4)",1,0.9190607540562272,0,coarse
"(3,4)",1,0.8454392978652591,1,coarse
"(3,4)",1,0.8228034635176895,2,coarse
"(3,8)",1,0.9526106640756163,0,coarse
"(3,8)",1,0.978817025594552,1,coarse
"(3,8)",1,0.9771495753937797,2,coarse
"(3,16)",1,0.8531420533405175,0,coarse
"(3,16)",1,0.9423391217164429,1,coarse
"(3,16)",1,0.937236642490114,2,coarse
"(4,4)",1,0.9272764252853087,0,coarse
"(4,4)",1,0.8914224582885567,1,coarse
"(4,4)",1,0.8626507598770574,2,coarse
"(4,4)",1,0.826529995109932,3,coarse
"(4,8)",1,0.8419102936344915,0,coarse
"(4,8)",1,0.888469775339299,1,coarse
"(4,8)",1,0.8767948801513114,2,coarse
"(4,8)",1,0.8677405740617127,3,coarse
"(5,4)",1,0.8612148714871487,0,coarse
"(5,4)",1,0.8597380157771063,1,coarse
"(5,4)",1,0.8426277092696042,2,coarse
"(5,4)",1,0.8145134266407874,3,coarse
"(5,4)",1,0.8052658149245434,4,coarse
"(3,4)",2,0.9622341292845409,0,coarse
"(3,4)",2,0.9020811353438479,1,coarse
"(3,4)",2,0.8094415177845999,2,coarse
"(3,8)",2,0.9386166804222544,0,coarse
"(3,8)",2,0.9678662077276303,1,coarse
"(3,8)",2,0.9424478736765981,2,coarse
"(3,16)",2,0.8884006309532119,0,coarse
"(3,16)",2,0.9652868856492037,1,coarse
"(3,16)",2,0.9629682625510085,2,coarse
"(4,4)",2,0.9373044162546118,0,coarse
"(4,4)",2,0.930876257574994,1,coarse
"(4,4)",2,0.8874218631239065,2,coarse
"(4,4)",2,0.8640550420224474,3,coarse
"(4,8)",2,0.9137821450218321,0,coarse
