dataset,run,value,hierarchy_level,condition
"(3,4)",0,1.0,0,fine
"(3,4)",0,0.9910685535730371,1,fine
"(3,4)",0,0.9733826446434198,2,fine
"(3,8)",0,0.9668307694010667,0,fine
"(3,8)",0,0.9118261619948538,1,fine
"(3,8)",0,0.8689619833776985,2,fine
"(3,16)",0,0.8273852002035094,0,fine
"(3,16)",0,0.7803667022946152,1,fine
"(3,16)",0,0.7301666499230126,2,fine
"(4,4)",0,1.0,0,fine
"(4,4)",0,0.995175436748127,1,fine
"(4,4)",0,0.9953417219903532,2,fine
"(4,4)",0,0.9919213490528863,3,fine
"(4,8)",0,0.9416565572434771,0,fine
"(4,8)",0,0.9186207127167544,1,fine
"(4,8)",0,0.906554680093551,2,fine
"(4,8)",0,0.8783878408557173,3,fine
"(5,4)",0,0.9919221292415462,0,fine
"(5,4)",0,0.9714106664743781,1,fine
"(5,4)",0,0.9676945445593682,2,fine
"(5,4)",0,0.9582924279327788,3,fine
"(5,4)",0,0.9520076483199229,4,fine
"(3,4)",1,1.0,0,fine
"(3,4)",1,0.9984814581586857,1,fine
"(3,4)",1,0.9934564268440766,2,fine
"(3,8)",1,0.9420803962245706,0,fine
"(3,8)",1,0.9256403050103995,1,fine
"(3,8)",1,0.9076016982381743,2,fine
"(3,16)",1,0.8536869927249894,0,fine
"(3,16)",1,0.8202625039863436,1,fine
"(3,16)",1,0.7697081904540654,2,fine
"(4,4)",1,0.9951651044938187,0,fine
"(4,4)",1,0.9845582276315145,1,fine
"(4,4)",1,0.9762026090224295,2,fine
"(4,4)",1,0.9821197443199816,3,fine
"(4,8)",1,0.8911850632449921,0,fine
"(4,8)",1,0.857772102042548,1,fine
"(4,8)",1,0.8361547919619066,2,fine
"(4,8)",1,0.8016123231782273,3,fine
"(5,4)",1,0.9664858450232018,0,fine
"(5,4)",1,0.982530369974276,1,fine
"(5,4)",1,0.9823233919037707,2,fine
"(5,4)",1,0.9757496097343156,3,fine
"(5,4)",1,0.9661525350314091,4,fine
"(3,4)",2,1.0,0,fine
"(3,4)",2,1.0,1,fine
"(3,4)",2,0.9907519696477917,2,fine
"(3,8)",2,1.0,0,fine
"(3,8)",2,0.9795250974778184,1,fine
"(3,8)",2,0.9621681921679496,2,fine
"(3,16)",2,0.8746826994951147,0,fine
"(3,16)",2,0.8245554472316853,1,fine
"(3,16)",2,0.7780178213288458,2,fine
"(4,4)",2,0.9739384025191861,0,fine
"(4,4)",2,0.9728259123704007,1,fine
"(4,4)",2,0.9747483842028196,2,fine
"(4,4)",2,0.9629639066190743,3,fine
"(4,8)",2,0.9055713493299771,0,fine
"(4,8)",2,0.9025385288322944,1,fine
"(4,8)",2,0.8712614698763945,2,fine
"(4,8)",2,0.8333729171452415,3,fine
"(5,4)",2,0.9931493758477374,0,fine
"(5,4)",2,0.9979921247593004,1,fine
"(5,4)",2,0.9959621545841191,2,fine
"(5,4)",2,0.9914736883318555,3,fine
"(5,4)",2,0.9803708779730643,4,fine
"(3,4)",3,1.0,0,fine
"(3,4)",3,0.9938923086021514,1,fine
"(3,4)",3,0.9861506276729093,2,fine
"(3,8)",3,0.9148579574283795,0,fine
"(3,8)",3,0.9092207309103323,1,fine
"(3,8)",3,0.879005646438171,2,fine
"(3,16)",3,0.7903592437549591,0,fine
"(3,16)",3,0.7467677151111353,1,fine
"(3,16)",3,0.6948741125334099,2,fine
"(4,4)",3,1.0,0,fine
"(4,4)",3,1.0,1,fine
"(4,4)",3,0.9975771976025289,2,fine
"(4,4)",3,0.9946655718750561,3,fine
"(4,8)",3,0.8751253448007045,0,fine
"(4,8)",3,0.8915614989368618,1,fine
"(4,8)",3,0.8617123561134541,2,fine
"(4,8)",3,0.8218868387551956,3,fine
"(5,4)",3,1.0,0,fine
"(5,4)",3,0.9941170788971196,1,fine
"(5,4)",3,0.9921539701270634,2,fine
"(5,4)",3,0.9832159880021545,3,fine
"(5,4)",3,0.9738196262976647,4,fine
"(3,4)",4,1.0,0,fine
"(3,4)",4,1.0,1,fine
"(3,4)",4,0.9759636878094508,2,fine
"(3,8)",4,0.8678565227724884,0,fine
"(3,8)",4,0.85876459010251,1,fine
"(3,8)",4,0.8183180536805973,2,fine
"(3,16)",4,0.8102033127412276,0,fine
"(3,16)",4,0.7786495719379377,1,fine
"(3,16)",4,0.712125862078127,2,fine
"(4,4)",4,0.9828932055721796,0,fine
"(4,4)",4,0.9841049499723161,1,fine
"(4,4)",4,0.9766479282730511,2,fine
"(4,4)",4,0.9671293020523027,3,fine
"(4,8)",4,0.9533305662438479,0,fine
"(4,8)",4,0.9496039750495134,1,fine
"(4,8)",4,0.9359012822066233,2,fine
"(4,8)",4,0.9189728070116356,3,fine
"(5,4)",4,1.0,0,fine
"(5,4)",4,0.9988450828306948,1,fine
"(5,4)",4,0.9980128557420292,2,fine
"(5,4)",4,0.9963284908216749,3,fine
"(5,4)",4,0.9909657924113056,4,fine
"(3,4)",0,1.0,0,mixed
"(3,4)",0,0.9612781548428536,1,mixed
"(3,4)",0,0.9511915518433524,2,mixed
"(3,8)",0,0.9521911946034997,0,mixed
"(3,8)",0,0.9464430684913363,1,mixed
"(3,8)",0,0.9177440562058128,2,mixed
"(3,16)",0,0.9039035931202121,0,mixed
"(3,16)",0,0.8153166555120135,1,mixed
"(3,16)",0,0.7551806322112662,2,mixed
"(4,4)",0,1.0,0,mixed
"(4,4)",0,0.9837692577832746,1,mixed
"(4,4)",0,0.9729132191756308,2,mixed
"(4,4)",0,0.964678391346173,3,mixed
"(4,8)",0,0.9747198993411078,0,mixed
"(4,8)",0,0.9622801275775288,1,mixed
"(4,8)",0,0.9348965959232186,2,mixed
"(4,8)",0,0.9026799092991453,3,mixed
"(5,4)",0,1.0,0,mixed
"(5,4)",0,0.9800470810953379,1,mixed
"(5,4)",0,0.9680902356483249,2,mixed
"(5,4)",0,0.9495449838593687,3,mixed
"(5,4)",0,0.9613004714884567,4,mixed
"(3,4)",1,1.0,0,mixed
"(3,4)",1,0.9879378546626266,1,mixed
"(3,4)",1,0.9842706332859348,2,mixed
"(3,8)",1,1.0,0,mixed
"(3,8)",1,0.977847025517103,1,mixed
"(3,8)",1,0.9533105710917413,2,mixed
"(3,16)",1,0.8291266462860207,0,mixed
"(3,16)",1,0.7667895914415737,1,mixed
"(3,16)",1,0.6851406651033086,2,mixed
"(4,4)",1,1.0,0,mixed
"(4,4)",1,1.0,1,mixed
"(4,4)",1,0.99837377347427,2,mixed
"(4,4)",1,0.994897875241497,3,mixed
"(4,8)",1,0.9406671868005599,0,mixed
"(4,8)",1,0.9155600466937853,1,mixed
"(4,8)",1,0.892475168552795,2,mixed
"(4,8)",1,0.8596508125422262,3,mixed
"(5,4)",1,1.0,0,mixed
"(5,4)",1,0.9759545320229894,1,mixed
"(5,4)",1,0.9612656677343117,2,mixed
"(5,4)",1,0.9277938204426343,3,mixed
"(5,4)",1,0.9191317514249775,4,mixed
"(3,4)",2,1.0,0,mixed
"(3,4)",2,0.9822109981336021,1,mixed
"(3,4)",2,0.9841023631014658,2,mixed
"(3,8)",2,0.9701876473621824,0,mixed
"(3,8)",2,0.9314467967942011,1,mixed
"(3,8)",2,0.9020277088608457,2,mixed
"(3,16)",2,0.8813295512246498,0,mixed
"(3,16)",2,0.8049439314669984,1,mixed
"(3,16)",2,0.7509079549642552,2,mixed
"(4,4)",2,1.0,0,mixed
"(4,4)",2,0.9973291169510861,1,mixed
"(4,4)",2,0.9867445280032393,2,mixed
"(4,4)",2,0.9830229153164342,3,mixed
"(4,8)",2,0.922160870254494,0,mixed
"(4,8)",2,0.9083858354097449,1,mixed
"(4,8)",2,0.8857542644629788,2,mixed
