dataset,context_condition,run,vocab_size,symbols
"(3,4)",coarse,0,11,"Counter({0: 742, 4: 433, 7: 394, 3: 370, 13: 310, 9: 280, 5: 253, 1: 97, 2: 67, 12: 21, 11: 1})"
"(3,4)",coarse,1,11,"Counter({0: 742, 4: 427, 2: 352, 7: 327, 3: 257, 12: 244, 15: 209, 13: 194, 9: 121, 1: 65, 10: 30})"
"(3,4)",coarse,2,14,"Counter({0: 742, 13: 400, 15: 293, 14: 283, 6: 250, 9: 240, 7: 229, 1: 211, 10: 198, 5: 45, 8: 32, 3: 23, 12: 21, 4: 1})"
"(3,4)",coarse,3,9,"Counter({0: 742, 4: 414, 8: 390, 5: 367, 13: 305, 3: 297, 6: 222, 10: 129, 1: 102})"
"(3,4)",coarse,4,10,"Counter({0: 742, 15: 392, 9: 389, 5: 341, 4: 288, 8: 282, 14: 234, 10: 169, 1: 130, 3: 1})"
"(3,4)",mixed,0,13,"Counter({0: 742, 3: 347, 12: 298, 8: 282, 9: 263, 4: 224, 15: 216, 11: 178, 5: 170, 7: 145, 10: 62, 2: 40, 6: 1})"
"(3,4)",mixed,1,13,"Counter({0: 742, 3: 379, 5: 359, 10: 291, 6: 241, 2: 200, 7: 195, 8: 116, 14: 110, 4: 94, 15: 90, 1: 81, 9: 70})"
"(3,4)",mixed,2,14,"Counter({0: 742, 11: 353, 10: 252, 8: 231, 4: 222, 13: 194, 2: 177, 12: 159, 7: 131, 3: 118, 5: 108, 9: 102, 14: 94, 1: 85})"
"(3,4)",mixed,3,13,"Counter({0: 742, 2: 319, 5: 289, 9: 263, 10: 232, 4: 219, 3: 184, 11: 161, 8: 156, 14: 148, 15: 131, 1: 123, 6: 1})"
"(3,4)",mixed,4,15,"Counter({0: 742, 10: 278, 13: 237, 15: 204, 7: 202, 3: 200, 1: 179, 6: 170, 4: 161, 2: 160, 5: 118, 11: 102, 8: 89, 14: 80, 9: 46})"
"(3,4)",fine,0,13,"Counter({0: 742, 2: 351, 12: 303, 3: 224, 7: 203, 11: 187, 14: 184, 1: 165, 5: 161, 13: 159, 6: 138, 10: 99, 8: 52})"
"(3,4)",fine,1,12,"Counter({0: 743, 3: 302, 9: 275, 2: 241, 7: 237, 8: 218, 13: 214, 5: 211, 11: 204, 12: 146, 14: 108, 15: 69})"
"(3,4)",fine,2,15,"Counter({0: 742, 13: 288, 11: 223, 15: 206, 14: 167, 12: 164, 10: 157, 5: 153, 2: 147, 3: 146, 8: 143, 7: 130, 4: 105, 9: 105, 1: 92})"
