message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",4,"{(1,)}","{('?', '?', 2)}"
"(13, 1, 1, 0)",1,"{(1, 13)}","{(9, 0, 2)}"
"(13, 13, 13, 0)",181,"{(13,)}","{('?', '?', 7)}"
"(13, 13, 26, 0)",4,"{(26, 13)}","{('?', '?', 7)}"
"(13, 46, 13, 0)",1,"{(13, 46)}","{(12, 14, 7)}"
"(14, 17, 40, 0)",6,"{(40, 17, 14)}","{('?', '?', 5)}"
"(14, 40, 38, 0)",6,"{(40, 38, 14)}","{('?', '?', 5)}"
"(14, 40, 40, 0)",12,"{(40, 14)}","{('?', '?', 5)}"
"(17, 1, 1, 0)",20,"{(17, 1)}","{('?', 15, '?')}"
"(17, 1, 17, 0)",8,"{(17, 1)}","{('?', 15, '?')}"
"(17, 1, 24, 0)",1,"{(24, 17, 1)}","{(0, 15, '?')}"
"(17, 1, 30, 0)",1,"{(17, 1, 30)}","{(0, 15, '?')}"
"(17, 11, 11, 0)",1,"{(17, 11)}","{(0, 15, 5)}"
"(17, 11, 17, 0)",1,"{(17, 11)}","{(0, 15, 5)}"
"(17, 17, 1, 0)",1,"{(17, 1)}","{(13, 15, '?')}"
"(17, 17, 11, 0)",2,"{(17, 11)}","{('?', 15, 10)}"
"(17, 17, 17, 0)",27,"{(17,)}","{('?', 15, '?')}"
"(17, 17, 26, 0)",5,"{(17, 26)}","{('?', 15, '?')}"
"(17, 17, 31, 0)",1,"{(17, 31)}","{(12, 15, '?')}"
"(17, 17, 32, 0)",1,"{(32, 17)}","{(13, 15, 4)}"
"(17, 17, 41, 0)",5,"{(17, 41)}","{('?', 15, 4)}"
"(17, 17, 48, 0)",1,"{(48, 17)}","{(8, 15, '?')}"
"(17, 20, 17, 0)",2,"{(17, 20)}","{('?', 15, 13)}"
"(17, 20, 20, 0)",2,"{(17, 20)}","{('?', 15, 13)}"
"(17, 20, 36, 0)",1,"{(17, 20, 36)}","{(3, 15, 13)}"
"(17, 24, 17, 0)",1,"{(24, 17)}","{(4, 15, 13)}"
"(17, 26, 1, 0)",4,"{(17, 26, 1)}","{('?', 15, '?')}"
"(17, 26, 17, 0)",6,"{(17, 26)}","{('?', 15, '?')}"
"(17, 26, 24, 0)",14,"{(24, 17, 26)}","{('?', 2, '?')}"
"(17, 26, 46, 0)",6,"{(17, 26, 46)}","{('?', 15, 9)}"
"(17, 31, 17, 0)",1,"{(17, 31)}","{(0, 15, 4)}"
"(17, 31, 24, 0)",1,"{(24, 17, 31)}","{(12, 15, '?')}"
"(17, 31, 41, 0)",1,"{(17, 41, 31)}","{(0, 15, 4)}"
"(17, 32, 17, 0)",12,"{(32, 17)}","{('?', 15, '?')}"
"(17, 32, 41, 0)",2,"{(32, 17, 41)}","{('?', 15, 4)}"
"(17, 32, 43, 0)",3,"{(32, 17, 43)}","{('?', 15, 11)}"
"(17, 32, 46, 0)",1,"{(32, 17, 46)}","{(3, 15, 9)}"
"(17, 36, 1, 0)",1,"{(17, 36, 1)}","{(14, 15, 13)}"
"(17, 36, 17, 0)",4,"{(17, 36)}","{('?', 15, 13)}"
"(17, 36, 20, 0)",1,"{(17, 36, 20)}","{(13, 15, 13)}"
"(17, 36, 36, 0)",11,"{(17, 36)}","{('?', 15, 13)}"
"(17, 40, 38, 0)",4,"{(40, 17, 38)}","{('?', 15, 5)}"
"(17, 40, 40, 0)",10,"{(40, 17)}","{('?', 15, 5)}"
"(17, 41, 17, 0)",7,"{(17, 41)}","{('?', 15, '?')}"
"(17, 41, 26, 0)",2,"{(17, 26, 41)}","{('?', 15, 4)}"
"(17, 41, 32, 0)",1,"{(32, 17, 41)}","{(13, 15, 4)}"
"(17, 41, 41, 0)",15,"{(17, 41)}","{('?', 15, 4)}"
"(17, 43, 43, 0)",1,"{(17, 43)}","{(8, 15, 11)}"
"(17, 46, 46, 0)",9,"{(17, 46)}","{('?', 15, 9)}"
"(17, 48, 17, 0)",2,"{(48, 17)}","{('?', 15, '?')}"
"(17, 7, 17, 0)",1,"{(17, 7)}","{(15, 15, 10)}"
"(18, 1, 1, 0)",3,"{(1, 18)}","{('?', 11, 2)}"
"(18, 18, 18, 0)",29,"{(18,)}","{('?', '?', '?')}"
"(18, 18, 37, 0)",1,"{(18, 37)}","{(7, '?', '?')}"
"(18, 18, 8, 0)",1,"{(8, 18)}","{(2, 7, '?')}"
"(19, 19, 19, 0)",136,"{(19,)}","{('?', '?', 12)}"
"(19, 19, 37, 0)",3,"{(19, 37)}","{('?', 14, 12)}"
"(19, 33, 33, 0)",11,"{(33, 19)}","{('?', 14, 1)}"
"(19, 33, 37, 0)",1,"{(33, 19, 37)}","{(2, 14, 1)}"
"(19, 33, 38, 0)",14,"{(33, 19, 38)}","{('?', 14, 1)}"
"(19, 37, 19, 0)",2,"{(19, 37)}","{('?', 14, 12)}"
"(19, 37, 37, 0)",9,"{(19, 37)}","{('?', 14, 12)}"
"(20, 20, 20, 0)",11,"{(20,)}","{('?', 10, 13)}"
"(20, 20, 39, 0)",3,"{(20, 39)}","{('?', 10, 13)}"
"(20, 20, 46, 0)",1,"{(20, 46)}","{(7, 10, 9)}"
"(20, 26, 20, 0)",1,"{(26, 20)}","{(14, 10, 9)}"
"(20, 26, 26, 0)",1,"{(26, 20)}","{(14, 10, 9)}"
"(20, 36, 36, 0)",1,"{(20, 36)}","{(12, 15, 13)}"
"(20, 39, 20, 0)",1,"{(20, 39)}","{(8, 10, 13)}"
"(20, 39, 39, 0)",2,"{(20, 39)}","{('?', 10, 13)}"
"(20, 46, 20, 0)",2,"{(20, 46)}","{('?', 10, 9)}"
"(20, 46, 46, 0)",7,"{(20, 46)}","{('?', 10, 9)}"
"(21, 21, 21, 0)",1,"{(21,)}","{(0, 8, '?')}"
"(23, 23, 23, 0)",230,"{(23,)}","{('?', 1, '?')}"
"(23, 23, 44, 0)",1,"{(44, 23)}","{(3, 1, 12)}"
"(23, 37, 37, 0)",1,"{(37, 23)}","{(14, 14, 0)}"
"(23, 44, 44, 0)",1,"{(44, 23)}","{('?', 1, 12)}"
"(24, 1, 1, 0)",37,"{(24, 1)}","{('?', '?', 2)}"
"(24, 1, 24, 0)",1,"{(24, 1)}","{(7, 5, 2)}"
"(24, 1, 26, 0)",10,"{(24, 1, 26)}","{('?', 4, 2)}"
"(24, 1, 32, 0)",1,"{(24, 1, 32)}","{(3, 4, 2)}"
"(24, 1, 34, 0)",1,"{(24, 1, 34)}","{('?', 4, 2)}"
"(24, 11, 11, 0)",4,"{(24, 11)}","{('?', 5, 5)}"
"(24, 13, 13, 0)",3,"{(24, 13)}","{('?', 2, 7)}"
"(24, 17, 11, 0)",18,"{(24, 17, 11)}","{('?', '?', 5)}"
"(24, 17, 26, 0)",188,"{(24, 17, 26)}","{('?', 2, '?')}"
"(24, 17, 40, 0)",2,"{(24, 17, 40)}","{('?', '?', '?')}"
"(24, 20, 20, 0)",1,"{(24, 20)}","{(4, 4, 13)}"
"(24, 20, 36, 0)",2,"{(24, 20, 36)}","{('?', 4, 13)}"
"(24, 21, 1, 0)",1,"{(24, 1, 21)}","{(13, 8, 2)}"
"(24, 21, 21, 0)",6,"{(24, 21)}","{('?', 8, '?')}"
"(24, 21, 32, 0)",1,"{(24, 32, 21)}","{(5, 8, 13)}"
"(24, 21, 36, 0)",7,"{(24, 36, 21)}","{('?', 8, 13)}"
"(24, 24, 1, 0)",1,"{(24, 1)}","{(12, 5, 2)}"
"(24, 24, 11, 0)",2,"{(24, 11)}","{('?', 5, '?')}"
"(24, 24, 17, 0)",15,"{(24, 17)}","{('?', 2, '?')}"
"(24, 24, 2, 0)",2,"{(24, 2)}","{('?', 5, 10)}"
"(24, 24, 24, 0)",111,"{(24,)}","{('?', 5, '?')}"
"(24, 24, 26, 0)",22,"{(24, 26)}","{('?', 2, '?')}"
"(24, 24, 43, 0)",1,"{(24, 43)}","{(3, 5, 11)}"
"(24, 26, 24, 0)",40,"{(24, 26)}","{('?', 2, '?')}"
"(24, 26, 26, 0)",5,"{(24, 26)}","{('?', 2, '?')}"
"(24, 32, 1, 0)",1,"{(24, 1, 32)}","{(12, 4, 2)}"
"(24, 32, 11, 0)",1,"{(24, 32, 11)}","{(12, 5, 5)}"
"(24, 32, 26, 0)",5,"{(24, 32, 26)}","{('?', 4, 2)}"
"(24, 32, 32, 0)",20,"{(24, 32)}","{('?', 4, '?')}"
"(24, 32, 36, 0)",4,"{(24, 32, 36)}","{('?', 4, 13)}"
"(24, 32, 43, 0)",38,"{(24, 32, 43)}","{('?', '?', 11)}"
"(24, 36, 32, 0)",1,"{(24, 32, 36)}","{(3, 4, 13)}"
"(24, 36, 36, 0)",30,"{(24, 36)}","{('?', '?', 13)}"
"(24, 43, 43, 0)",72,"{(24, 43)}","{('?', '?', 11)}"
"(24, 46, 24, 0)",2,"{(24, 46)}","{('?', 2, 9)}"
"(24, 46, 36, 0)",2,"{(24, 36, 46)}","{('?', 4, 13)}"
"(25, 25, 25, 0)",218,"{(25,)}","{('?', 9, '?')}"
"(26, 24, 26, 0)",17,"{(24, 26)}","{('?', '?', 3)}"
"(26, 25, 25, 0)",6,"{(25, 26)}","{('?', 9, 1)}"
"(26, 26, 20, 0)",12,"{(26, 20)}","{('?', 10, 3)}"
"(26, 26, 24, 0)",8,"{(24, 26)}","{('?', '?', 3)}"
"(26, 26, 26, 0)",158,"{(26,)}","{('?', '?', 3)}"
"(26, 26, 30, 0)",2,"{(26, 30)}","{('?', 10, 3)}"
"(26, 26, 39, 0)",3,"{(26, 39)}","{('?', 10, 3)}"
"(26, 30, 31, 0)",1,"{(26, 30, 31)}","{(14, 5, 0)}"
"(26, 30, 33, 0)",8,"{(33, 26, 30)}","{('?', 10, 1)}"
"(26, 33, 33, 0)",29,"{(33, 26)}","{('?', '?', 1)}"
"(26, 39, 26, 0)",1,"{(26, 39)}","{(6, 10, 3)}"
"(26, 39, 39, 0)",1,"{(26, 39)}","{(8, 10, 3)}"
"(26, 46, 46, 0)",1,"{(26, 46)}","{(11, '?', '?')}"
"(30, 25, 25, 0)",1,"{(25, 30)}","{(9, 9, 0)}"
"(30, 30, 31, 0)",6,"{(30, 31)}","{('?', '?', 0)}"
