message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",3,"{(1,)}","{('?', '?', 11)}"
"(1, 1, 16, 0)",1,"{(16, 1)}","{(0, 12, 11)}"
"(1, 1, 49, 0)",1,"{(1, 49)}","{(12, 11, 11)}"
"(1, 10, 10, 0)",1,"{(1, 10)}","{(7, 15, 8)}"
"(1, 10, 22, 0)",1,"{(1, 10, 22)}","{(7, 15, 8)}"
"(1, 10, 24, 0)",1,"{(24, 1, 10)}","{(0, 14, 8)}"
"(1, 16, 16, 0)",4,"{(16, 1)}","{('?', '?', '?')}"
"(1, 24, 24, 0)",4,"{(24, 1)}","{(0, '?', '?')}"
"(1, 27, 1, 0)",3,"{(1, 27)}","{('?', '?', '?')}"
"(1, 27, 16, 0)",1,"{(16, 1, 27)}","{(7, 0, 11)}"
"(1, 27, 24, 0)",1,"{(24, 1, 27)}","{(0, 10, 11)}"
"(1, 27, 27, 0)",1,"{(1, 27)}","{(7, 0, 11)}"
"(1, 27, 37, 0)",2,"{(1, 27, 37)}","{(7, 10, '?')}"
"(1, 28, 10, 0)",1,"{(1, 10, 28)}","{(7, 14, 11)}"
"(1, 28, 16, 0)",1,"{(16, 1, 28)}","{(7, 14, 11)}"
"(1, 28, 24, 0)",2,"{(24, 1, 28)}","{(0, '?', 11)}"
"(1, 28, 4, 0)",1,"{(1, 28, 4)}","{(7, 14, 11)}"
"(1, 36, 1, 0)",4,"{(1, 36)}","{('?', '?', '?')}"
"(1, 36, 16, 0)",1,"{(16, 1, 36)}","{(7, '?', 8)}"
"(1, 36, 24, 0)",10,"{(24, 1, 36)}","{('?', '?', '?')}"
"(1, 36, 36, 0)",1,"{(1, 36)}","{(12, '?', 2)}"
"(1, 36, 50, 0)",1,"{(1, 50, 36)}","{(12, 10, 8)}"
"(1, 36, 7, 0)",2,"{(1, 36, 7)}","{('?', '?', 2)}"
"(1, 36, 9, 0)",1,"{(1, 36, 9)}","{(7, '?', 2)}"
"(1, 49, 1, 0)",1,"{(1, 49)}","{(12, 11, 11)}"
"(1, 49, 27, 0)",1,"{(1, 27, 49)}","{(7, 14, 11)}"
"(1, 49, 39, 0)",1,"{(1, 39, 49)}","{(0, '?', 4)}"
"(1, 50, 10, 0)",2,"{(1, 50, 10)}","{(7, '?', 8)}"
"(1, 50, 24, 0)",8,"{(24, 1, 50)}","{('?', '?', '?')}"
"(1, 50, 27, 0)",1,"{(1, 50, 27)}","{(7, 0, 8)}"
"(1, 50, 36, 0)",2,"{(1, 50, 36)}","{('?', 10, '?')}"
"(1, 51, 16, 0)",1,"{(16, 1, 51)}","{(7, 12, 11)}"
"(1, 7, 24, 0)",4,"{(24, 1, 7)}","{('?', '?', '?')}"
"(1, 7, 7, 0)",4,"{(1, 7)}","{('?', '?', '?')}"
"(1, 9, 4, 0)",2,"{(1, 4, 9)}","{(7, '?', 2)}"
"(1, 9, 9, 0)",1,"{(1, 9)}","{(7, 14, 2)}"
"(10, 10, 16, 0)",1,"{(16, 10)}","{('?', 14, 8)}"
"(10, 10, 25, 0)",1,"{(25, 10)}","{(15, 4, 8)}"
"(10, 10, 34, 0)",2,"{(10, 34)}","{('?', '?', 8)}"
"(10, 10, 40, 0)",4,"{(40, 10)}","{('?', '?', 8)}"
"(10, 10, 41, 0)",1,"{(41, 10)}","{('?', 14, 8)}"
"(10, 10, 42, 0)",4,"{(10, 42)}","{('?', '?', 8)}"
"(10, 10, 43, 0)",4,"{(10, 43)}","{('?', '?', 8)}"
"(10, 10, 48, 0)",2,"{(48, 10)}","{(4, '?', 8)}"
"(10, 12, 1, 0)",4,"{(1, 10, 12)}","{('?', '?', 8)}"
"(10, 12, 16, 0)",3,"{(16, 10, 12)}","{('?', '?', 8)}"
"(10, 12, 24, 0)",4,"{(24, 10, 12)}","{('?', '?', 8)}"
"(10, 12, 4, 0)",4,"{(10, 12, 4)}","{('?', '?', 8)}"
"(10, 16, 12, 0)",2,"{(16, 10, 12)}","{('?', '?', 8)}"
"(10, 16, 16, 0)",1,"{(16, 10)}","{('?', 10, 8)}"
"(10, 16, 37, 0)",2,"{(16, 10, 37)}","{('?', '?', 8)}"
"(10, 16, 38, 0)",3,"{(16, 10, 38)}","{('?', '?', 8)}"
"(10, 16, 41, 0)",2,"{(16, 41, 10)}","{('?', '?', 8)}"
"(10, 16, 43, 0)",5,"{(16, 10, 43)}","{('?', '?', 8)}"
"(10, 17, 17, 0)",2,"{(17, 10)}","{('?', 4, 8)}"
"(10, 17, 40, 0)",1,"{(40, 17, 10)}","{(2, 11, 8)}"
"(10, 21, 21, 0)",1,"{(10, 21)}","{('?', 4, 8)}"
"(10, 21, 25, 0)",1,"{(25, 10, 21)}","{(15, 4, 8)}"
"(10, 21, 40, 0)",1,"{(40, 10, 21)}","{(9, 4, 8)}"
"(10, 38, 10, 0)",2,"{(10, 38)}","{(14, '?', 8)}"
"(10, 38, 16, 0)",2,"{(16, 10, 38)}","{(14, '?', 8)}"
"(10, 38, 40, 0)",1,"{(40, 10, 38)}","{(14, 11, '?')}"
"(10, 40, 29, 0)",1,"{(40, 10, 29)}","{(9, 11, 8)}"
"(10, 40, 40, 0)",5,"{(40, 10)}","{('?', '?', 8)}"
"(10, 43, 43, 0)",1,"{(10, 43)}","{(9, 14, 8)}"
"(10, 48, 10, 0)",2,"{(48, 10)}","{(2, '?', 8)}"
"(10, 48, 40, 0)",2,"{(48, 10, 40)}","{(2, '?', 8)}"
"(10, 49, 24, 0)",2,"{(24, 49, 10)}","{('?', '?', 8)}"
"(10, 49, 29, 0)",3,"{(49, 10, 29)}","{('?', '?', 8)}"
"(10, 49, 49, 0)",2,"{(49, 10)}","{('?', 4, 8)}"
"(10, 7, 24, 0)",1,"{(24, 10, 7)}","{(8, 4, 8)}"
"(10, 7, 49, 0)",1,"{(49, 10, 7)}","{(1, 4, 8)}"
"(11, 11, 11, 0)",23,"{(11,)}","{('?', '?', '?')}"
"(11, 11, 14, 0)",4,"{(11, 14)}","{('?', '?', '?')}"
"(11, 11, 16, 0)",5,"{(16, 11)}","{('?', '?', '?')}"
"(11, 11, 17, 0)",6,"{(17, 11)}","{('?', '?', '?')}"
"(11, 11, 21, 0)",2,"{(11, 21)}","{(2, 9, '?')}"
"(11, 11, 23, 0)",1,"{(11, 23)}","{(5, 13, 1)}"
"(11, 11, 26, 0)",4,"{(26, 11)}","{(2, '?', '?')}"
"(11, 11, 30, 0)",8,"{(11, 30)}","{('?', '?', '?')}"
"(11, 11, 33, 0)",6,"{(33, 11)}","{('?', '?', '?')}"
"(11, 11, 41, 0)",13,"{(41, 11)}","{('?', '?', '?')}"
"(11, 11, 42, 0)",7,"{(42, 11)}","{('?', '?', '?')}"
"(11, 11, 46, 0)",5,"{(11, 46)}","{('?', '?', '?')}"
"(11, 11, 48, 0)",19,"{(48, 11)}","{('?', '?', '?')}"
"(11, 11, 6, 0)",5,"{(11, 6)}","{('?', '?', '?')}"
"(11, 11, 8, 0)",12,"{(8, 11)}","{('?', '?', '?')}"
"(11, 14, 21, 0)",1,"{(11, 21, 14)}","{(14, 7, 3)}"
"(11, 14, 25, 0)",1,"{(25, 11, 14)}","{(11, 12, 3)}"
"(11, 14, 40, 0)",1,"{(40, 11, 14)}","{(11, 7, 3)}"
"(11, 17, 23, 0)",1,"{(17, 11, 23)}","{(11, 9, 1)}"
"(11, 22, 22, 0)",1,"{(11, 22)}","{(2, 5, 9)}"
"(11, 25, 25, 0)",3,"{(25, 11)}","{('?', '?', 3)}"
"(11, 26, 16, 0)",5,"{(16, 26, 11)}","{('?', '?', '?')}"
