message,count,symbols,fixed_attribute_values
"(1, 1, 1, 0)",3,"{(1,)}","{('?', '?', 4)}"
"(1, 1, 2, 0)",4,"{(1, 2)}","{('?', '?', 4)}"
"(1, 10, 10, 0)",1,"{(1, 10)}","{(3, 0, 4)}"
"(1, 10, 2, 0)",3,"{(1, 10, 2)}","{('?', '?', 4)}"
"(1, 2, 10, 0)",2,"{(1, 2, 10)}","{('?', 4, 4)}"
"(1, 2, 2, 0)",3,"{(1, 2)}","{('?', '?', 4)}"
"(1, 2, 20, 0)",1,"{(1, 2, 20)}","{(2, '?', 4)}"
"(1, 2, 5, 0)",1,"{(1, 2, 5)}","{(2, '?', 4)}"
"(1, 20, 20, 0)",1,"{(1, 20)}","{('?', 7, 4)}"
"(1, 20, 5, 0)",1,"{(1, 20, 5)}","{('?', 7, 4)}"
"(1, 23, 20, 0)",3,"{(1, 20, 23)}","{('?', '?', 4)}"
"(1, 23, 5, 0)",2,"{(1, 5, 23)}","{(3, '?', 4)}"
"(1, 5, 2, 0)",2,"{(1, 2, 5)}","{(3, '?', 4)}"
"(1, 5, 20, 0)",5,"{(1, 20, 5)}","{('?', '?', 4)}"
"(1, 5, 5, 0)",4,"{(1, 5)}","{('?', '?', 4)}"
"(1, 6, 10, 0)",1,"{(1, 10, 6)}","{(2, 5, 1)}"
"(1, 6, 2, 0)",4,"{(1, 2, 6)}","{('?', '?', 1)}"
"(1, 6, 20, 0)",4,"{(1, 20, 6)}","{('?', '?', 1)}"
"(1, 6, 5, 0)",4,"{(1, 5, 6)}","{('?', '?', 1)}"
"(10, 10, 10, 0)",3,"{(10,)}","{('?', '?', '?')}"
"(10, 10, 16, 0)",1,"{(16, 10)}","{(0, 0, 4)}"
"(10, 10, 17, 0)",1,"{(17, 10)}","{(6, 6, 1)}"
"(10, 10, 2, 0)",3,"{(10, 2)}","{('?', 4, 4)}"
"(10, 10, 20, 0)",2,"{(10, 20)}","{('?', '?', 4)}"
"(10, 10, 4, 0)",1,"{(10, 4)}","{(0, 7, 1)}"
"(10, 10, 6, 0)",1,"{(10, 6)}","{('?', 0, 1)}"
"(10, 16, 16, 0)",3,"{(16, 10)}","{(0, '?', 4)}"
"(10, 17, 10, 0)",3,"{(17, 10)}","{('?', '?', 1)}"
"(10, 2, 10, 0)",1,"{(10, 2)}","{('?', 0, 4)}"
"(10, 2, 16, 0)",2,"{(16, 10, 2)}","{(6, '?', 4)}"
"(10, 2, 2, 0)",1,"{(10, 2)}","{('?', 0, 4)}"
"(10, 2, 20, 0)",3,"{(10, 2, 20)}","{('?', '?', 4)}"
"(10, 2, 27, 0)",4,"{(27, 10, 2)}","{(6, '?', 4)}"
"(10, 20, 20, 0)",5,"{(10, 20)}","{('?', '?', 4)}"
"(10, 20, 27, 0)",5,"{(10, 27, 20)}","{(6, '?', 4)}"
"(10, 20, 5, 0)",1,"{(10, 20, 5)}","{('?', 7, 4)}"
"(10, 4, 12, 0)",1,"{(10, 4, 12)}","{(0, 6, 4)}"
"(10, 4, 16, 0)",4,"{(16, 10, 4)}","{(0, '?', 4)}"
"(10, 4, 19, 0)",4,"{(10, 19, 4)}","{(0, '?', 4)}"
"(10, 4, 2, 0)",3,"{(10, 2, 4)}","{(0, '?', 4)}"
"(10, 4, 24, 0)",4,"{(24, 10, 4)}","{(0, '?', 4)}"
"(10, 6, 10, 0)",3,"{(10, 6)}","{('?', '?', 1)}"
"(10, 6, 2, 0)",1,"{(10, 2, 6)}","{(2, 0, 1)}"
"(10, 6, 20, 0)",3,"{(10, 20, 6)}","{('?', '?', 1)}"
"(10, 6, 4, 0)",2,"{(10, 4, 6)}","{(0, '?', 1)}"
"(11, 10, 10, 0)",9,"{(10, 11)}","{('?', '?', 1)}"
"(11, 10, 16, 0)",1,"{(16, 10, 11)}","{(7, 4, 1)}"
"(11, 10, 20, 0)",5,"{(10, 11, 20)}","{('?', '?', 1)}"
"(11, 10, 4, 0)",2,"{(10, 11, 4)}","{(7, '?', 1)}"
"(11, 11, 11, 0)",4,"{(11,)}","{(5, '?', 7)}"
"(11, 11, 16, 0)",2,"{(16, 11)}","{(5, '?', 1)}"
"(11, 11, 20, 0)",2,"{(11, 20)}","{(5, '?', 1)}"
"(11, 11, 4, 0)",1,"{(11, 4)}","{(5, 4, 7)}"
"(11, 11, 6, 0)",3,"{(11, 6)}","{(5, '?', 7)}"
