Dataset,Context,run,observed_n_concepts,expected_n_concepts,n_messages,matches_expected
"D(3,4)",coarse,0,141,99,34,False
"D(3,4)",coarse,1,194,99,51,False
"D(3,4)",coarse,2,187,99,58,False
"D(3,4)",coarse,3,140,99,40,False
"D(3,4)",coarse,4,173,99,52,False
"D(3,4)",mixed,0,256,99,157,False
"D(3,4)",mixed,1,201,99,102,False
"D(3,4)",mixed,2,260,99,176,False
"D(3,4)",mixed,3,233,99,132,False
"D(3,4)",mixed,4,229,99,166,False
"D(3,4)",fine,0,110,99,104,False
"D(3,4)",fine,1,126,99,116,False
"D(3,4)",fine,2,150,99,137,False
"D(3,4)",fine,3,168,99,152,False
"D(3,4)",fine,4,157,99,142,False
"D(3,8)",coarse,0,643,582,35,False
"D(3,8)",coarse,1,662,582,46,False
"D(3,8)",coarse,2,782,582,101,False
"D(3,8)",coarse,3,935,582,134,False
"D(3,8)",coarse,4,722,582,78,False
"D(3,8)",mixed,0,1678,582,669,False
"D(3,8)",mixed,1,1537,582,507,False
"D(3,8)",mixed,2,1555,582,489,False
"D(3,8)",mixed,3,1718,582,1014,False
"D(3,8)",mixed,4,1996,582,930,False
"D(3,8)",fine,0,882,582,518,False
"D(3,8)",fine,1,1052,582,704,False
"D(3,8)",fine,2,1094,582,921,False
"D(3,8)",fine,3,991,582,560,False
"D(3,8)",fine,4,1038,582,446,False
"D(3,16)",coarse,0,4514,3929,136,False
"D(3,16)",coarse,1,6044,3929,408,False
"D(3,16)",coarse,2,5055,3929,262,False
"D(3,16)",coarse,3,4209,3929,155,False
"D(3,16)",coarse,4,4840,3929,231,False
"D(3,16)",mixed,0,11454,3929,2320,False
"D(3,16)",mixed,1,10332,3929,1275,False
"D(3,16)",mixed,2,13787,3929,5514,False
"D(3,16)",mixed,3,10286,3929,1786,False
"D(3,16)",mixed,4,11463,3929,2600,False
"D(3,16)",fine,0,6140,3929,1341,False
"D(3,16)",fine,1,6147,3929,1609,False
"D(3,16)",fine,2,6797,3929,2022,False
"D(3,16)",fine,3,6540,3929,1226,False
"D(3,16)",fine,4,5656,3929,1110,False
"D(4,4)",coarse,0,1065,499,214,False
"D(4,4)",coarse,1,1125,499,282,False
"D(4,4)",coarse,2,887,499,171,False
"D(4,4)",coarse,3,987,499,165,False
"D(4,4)",coarse,4,939,499,149,False
"D(4,4)",mixed,0,2002,499,1509,False
"D(4,4)",mixed,1,1713,499,1274,False
"D(4,4)",mixed,2,1678,499,985,False
"D(4,4)",mixed,3,1323,499,859,False
"D(4,4)",mixed,4,1703,499,1246,False
"D(4,4)",fine,0,1346,499,1220,False
"D(4,4)",fine,1,1787,499,1448,False
"D(4,4)",fine,2,1637,499,1317,False
"D(4,4)",fine,3,1001,499,929,False
"D(4,4)",fine,4,1348,499,1091,False
"D(4,8)",coarse,0,11392,5248,948,False
"D(4,8)",coarse,1,12088,5248,1082,False
"D(4,8)",coarse,2,11241,5248,1187,False
"D(4,8)",coarse,3,11013,5248,911,False
"D(4,8)",coarse,4,10679,5248,871,False
"D(4,8)",mixed,0,15722,5248,6411,False
"D(4,8)",mixed,1,19268,5248,6244,False
"D(4,8)",mixed,2,18466,5248,6814,False
"D(4,8)",mixed,3,21640,5248,7417,False
"D(4,8)",mixed,4,22316,5248,8742,False
"D(4,8)",fine,0,11980,5248,6077,False
"D(4,8)",fine,1,13483,5248,4824,False
"D(4,8)",fine,2,10746,5248,4812,False
"D(4,8)",fine,3,10581,5248,4271,False
"D(4,8)",fine,4,9774,5248,6088,False
"D(5,4)",coarse,0,9698,2499,2269,False
"D(5,4)",coarse,1,7748,2499,1472,False
"D(5,4)",coarse,2,9435,2499,1777,False
"D(5,4)",coarse,3,8946,2499,1837,False
"D(5,4)",coarse,4,7661,2499,1471,False
"D(5,4)",mixed,0,7845,2499,5766,False
"D(5,4)",mixed,1,6178,2499,4940,False
"D(5,4)",mixed,2,9589,2499,4890,False
"D(5,4)",mixed,3,10752,2499,6369,False
"D(5,4)",mixed,4,10528,2499,7679,False
"D(5,4)",fine,0,5106,2499,3257,False
"D(5,4)",fine,1,6048,2499,5037,False
"D(5,4)",fine,2,3950,2499,3204,False
"D(5,4)",fine,3,9117,2499,7349,False
"D(5,4)",fine,4,5292,2499,4711,False
