dataset,context_condition,run,message,n_concepts
"(3,4)",coarse,0,"(1, 1, 1, 0)",4
"(3,4)",coarse,0,"(1, 2, 2, 0)",2
"(3,4)",coarse,0,"(1, 4, 4, 0)",1
"(3,4)",coarse,0,"(1, 7, 7, 0)",1
"(3,4)",coarse,0,"(1, 9, 9, 0)",1
"(3,4)",coarse,0,"(2, 2, 2, 0)",2
"(3,4)",coarse,0,"(2, 4, 4, 0)",1
"(3,4)",coarse,0,"(3, 3, 3, 0)",17
"(3,4)",coarse,0,"(3, 5, 3, 0)",1
"(3,4)",coarse,0,"(4, 1, 4, 0)",1
"(3,4)",coarse,0,"(4, 4, 4, 0)",19
"(3,4)",coarse,0,"(4, 4, 5, 0)",1
"(3,4)",coarse,0,"(4, 5, 5, 0)",1
"(3,4)",coarse,0,"(5, 3, 3, 0)",1
"(3,4)",coarse,0,"(5, 4, 4, 0)",2
"(3,4)",coarse,0,"(5, 4, 5, 0)",2
"(3,4)",coarse,0,"(5, 5, 3, 0)",1
"(3,4)",coarse,0,"(5, 5, 5, 0)",12
"(3,4)",coarse,0,"(5, 7, 5, 0)",1
"(3,4)",coarse,0,"(5, 7, 7, 0)",1
"(3,4)",coarse,0,"(5, 9, 5, 0)",1
"(3,4)",coarse,0,"(7, 5, 7, 0)",1
"(3,4)",coarse,0,"(7, 7, 7, 0)",19
"(3,4)",coarse,0,"(7, 7, 13, 0)",1
"(3,4)",coarse,0,"(7, 13, 7, 0)",5
"(3,4)",coarse,0,"(7, 13, 13, 0)",4
"(3,4)",coarse,0,"(9, 9, 9, 0)",12
"(3,4)",coarse,0,"(9, 13, 13, 0)",3
"(3,4)",coarse,0,"(11, 2, 2, 0)",1
"(3,4)",coarse,0,"(12, 12, 12, 0)",1
"(3,4)",coarse,0,"(13, 7, 7, 0)",3
"(3,4)",coarse,0,"(13, 7, 13, 0)",2
"(3,4)",coarse,0,"(13, 13, 7, 0)",1
"(3,4)",coarse,0,"(13, 13, 13, 0)",15
"(3,4)",coarse,1,"(1, 1, 1, 0)",3
"(3,4)",coarse,1,"(1, 1, 9, 0)",1
"(3,4)",coarse,1,"(2, 2, 2, 0)",10
"(3,4)",coarse,1,"(2, 2, 3, 0)",2
"(3,4)",coarse,1,"(2, 2, 15, 0)",1
"(3,4)",coarse,1,"(2, 3, 2, 0)",3
"(3,4)",coarse,1,"(2, 9, 9, 0)",1
"(3,4)",coarse,1,"(2, 15, 2, 0)",1
"(3,4)",coarse,1,"(2, 15, 15, 0)",1
"(3,4)",coarse,1,"(3, 2, 2, 0)",6
"(3,4)",coarse,1,"(3, 2, 3, 0)",16
"(3,4)",coarse,1,"(3, 3, 2, 0)",13
"(3,4)",coarse,1,"(3, 3, 3, 0)",6
"(3,4)",coarse,1,"(3, 3, 7, 0)",3
"(3,4)",coarse,1,"(3, 7, 7, 0)",4
"(3,4)",coarse,1,"(4, 4, 4, 0)",20
"(3,4)",coarse,1,"(4, 4, 12, 0)",1
"(3,4)",coarse,1,"(4, 12, 12, 0)",2
"(3,4)",coarse,1,"(7, 3, 7, 0)",1
"(3,4)",coarse,1,"(7, 7, 7, 0)",15
"(3,4)",coarse,1,"(9, 1, 1, 0)",2
"(3,4)",coarse,1,"(9, 2, 2, 0)",1
"(3,4)",coarse,1,"(9, 2, 13, 0)",1
"(3,4)",coarse,1,"(9, 9, 1, 0)",1
"(3,4)",coarse,1,"(9, 9, 9, 0)",8
"(3,4)",coarse,1,"(9, 10, 9, 0)",2
"(3,4)",coarse,1,"(9, 10, 10, 0)",1
"(3,4)",coarse,1,"(9, 12, 12, 0)",2
"(3,4)",coarse,1,"(9, 13, 13, 0)",1
"(3,4)",coarse,1,"(10, 9, 9, 0)",1
"(3,4)",coarse,1,"(10, 10, 10, 0)",2
"(3,4)",coarse,1,"(12, 4, 12, 0)",1
"(3,4)",coarse,1,"(12, 9, 12, 0)",1
"(3,4)",coarse,1,"(12, 10, 12, 0)",1
"(3,4)",coarse,1,"(12, 12, 10, 0)",1
"(3,4)",coarse,1,"(12, 12, 12, 0)",13
"(3,4)",coarse,1,"(12, 12, 15, 0)",2
"(3,4)",coarse,1,"(12, 15, 12, 0)",1
"(3,4)",coarse,1,"(13, 2, 13, 0)",3
"(3,4)",coarse,1,"(13, 9, 9, 0)",1
"(3,4)",coarse,1,"(13, 13, 2, 0)",3
"(3,4)",coarse,1,"(13, 13, 13, 0)",12
"(3,4)",coarse,1,"(13, 13, 15, 0)",1
"(3,4)",coarse,1,"(13, 15, 13, 0)",1
"(3,4)",coarse,1,"(15, 2, 2, 0)",1
"(3,4)",coarse,1,"(15, 2, 15, 0)",3
"(3,4)",coarse,1,"(15, 12, 12, 0)",2
"(3,4)",coarse,1,"(15, 12, 15, 0)",1
"(3,4)",coarse,1,"(15, 15, 2, 0)",2
"(3,4)",coarse,1,"(15, 15, 13, 0)",1
"(3,4)",coarse,1,"(15, 15, 15, 0)",11
"(3,4)",coarse,2,"(1, 1, 1, 0)",10
"(3,4)",coarse,2,"(1, 1, 3, 0)",1
"(3,4)",coarse,2,"(1, 1, 6, 0)",1
"(3,4)",coarse,2,"(1, 1, 8, 0)",1
"(3,4)",coarse,2,"(1, 6, 6, 0)",1
"(3,4)",coarse,2,"(3, 3, 3, 0)",1
"(3,4)",coarse,2,"(3, 14, 14, 0)",1
"(3,4)",coarse,2,"(4, 10, 10, 0)",1
"(3,4)",coarse,2,"(5, 5, 5, 0)",1
"(3,4)",coarse,2,"(5, 5, 13, 0)",2
"(3,4)",coarse,2,"(5, 13, 5, 0)",1
"(3,4)",coarse,2,"(5, 13, 13, 0)",8
"(3,4)",coarse,2,"(6, 1, 1, 0)",1
"(3,4)",coarse,2,"(6, 6, 1, 0)",1
"(3,4)",coarse,2,"(6, 6, 6, 0)",12
"(3,4)",coarse,2,"(6, 6, 10, 0)",1
"(3,4)",coarse,2,"(6, 10, 10, 0)",1
"(3,4)",coarse,2,"(6, 13, 13, 0)",1
"(3,4)",coarse,2,"(6, 15, 6, 0)",1
"(3,4)",coarse,2,"(6, 15, 15, 0)",1
"(3,4)",coarse,2,"(7, 7, 7, 0)",11
"(3,4)",coarse,2,"(7, 7, 10, 0)",1
"(3,4)",coarse,2,"(7, 7, 13, 0)",1
"(3,4)",coarse,2,"(7, 7, 15, 0)",1
"(3,4)",coarse,2,"(7, 10, 10, 0)",2
"(3,4)",coarse,2,"(7, 13, 5, 0)",2
"(3,4)",coarse,2,"(7, 13, 13, 0)",1
"(3,4)",coarse,2,"(7, 15, 15, 0)",4
"(3,4)",coarse,2,"(8, 8, 8, 0)",1
"(3,4)",coarse,2,"(8, 8, 15, 0)",1
"(3,4)",coarse,2,"(8, 15, 15, 0)",2
"(3,4)",coarse,2,"(9, 9, 9, 0)",13
"(3,4)",coarse,2,"(9, 9, 13, 0)",1
"(3,4)",coarse,2,"(9, 9, 15, 0)",2
"(3,4)",coarse,2,"(9, 10, 9, 0)",2
"(3,4)",coarse,2,"(9, 10, 10, 0)",1
"(3,4)",coarse,2,"(9, 13, 13, 0)",3
"(3,4)",coarse,2,"(9, 15, 15, 0)",2
"(3,4)",coarse,2,"(10, 6, 10, 0)",1
"(3,4)",coarse,2,"(10, 10, 6, 0)",2
"(3,4)",coarse,2,"(10, 10, 10, 0)",13
"(3,4)",coarse,2,"(10, 14, 14, 0)",1
"(3,4)",coarse,2,"(12, 12, 12, 0)",1
"(3,4)",coarse,2,"(13, 5, 5, 0)",1
"(3,4)",coarse,2,"(13, 5, 13, 0)",5
"(3,4)",coarse,2,"(13, 7, 13, 0)",1
"(3,4)",coarse,2,"(13, 13, 5, 0)",8
"(3,4)",coarse,2,"(13, 13, 13, 0)",20
"(3,4)",coarse,2,"(14, 13, 13, 0)",1
"(3,4)",coarse,2,"(14, 14, 10, 0)",2
"(3,4)",coarse,2,"(14, 14, 14, 0)",13
"(3,4)",coarse,2,"(14, 15, 15, 0)",1
"(3,4)",coarse,2,"(15, 7, 7, 0)",1
"(3,4)",coarse,2,"(15, 7, 15, 0)",1
"(3,4)",coarse,2,"(15, 9, 9, 0)",1
"(3,4)",coarse,2,"(15, 14, 15, 0)",2
"(3,4)",coarse,2,"(15, 15, 14, 0)",1
"(3,4)",coarse,2,"(15, 15, 15, 0)",12
"(3,4)",coarse,3,"(1, 1, 1, 0)",4
"(3,4)",coarse,3,"(1, 8, 1, 0)",1
"(3,4)",coarse,3,"(1, 8, 8, 0)",2
"(3,4)",coarse,3,"(3, 3, 3, 0)",13
"(3,4)",coarse,3,"(3, 3, 6, 0)",1
"(3,4)",coarse,3,"(3, 5, 3, 0)",1
"(3,4)",coarse,3,"(3, 6, 3, 0)",1
"(3,4)",coarse,3,"(4, 1, 1, 0)",2
"(3,4)",coarse,3,"(4, 1, 8, 0)",1
"(3,4)",coarse,3,"(4, 1, 13, 0)",1
"(3,4)",coarse,3,"(4, 3, 1, 0)",1
"(3,4)",coarse,3,"(4, 4, 4, 0)",17
"(3,4)",coarse,3,"(4, 4, 6, 0)",1
"(3,4)",coarse,3,"(4, 8, 8, 0)",3
"(3,4)",coarse,3,"(4, 13, 1, 0)",2
"(3,4)",coarse,3,"(4, 13, 13, 0)",1
"(3,4)",coarse,3,"(5, 5, 1, 0)",1
"(3,4)",coarse,3,"(5, 5, 3, 0)",2
"(3,4)",coarse,3,"(5, 5, 5, 0)",18
"(3,4)",coarse,3,"(6, 3, 3, 0)",1
"(3,4)",coarse,3,"(6, 4, 4, 0)",1
"(3,4)",coarse,3,"(6, 6, 6, 0)",5
"(3,4)",coarse,3,"(6, 13, 6, 0)",1
"(3,4)",coarse,3,"(8, 1, 8, 0)",2
"(3,4)",coarse,3,"(8, 6, 6, 0)",2
"(3,4)",coarse,3,"(8, 8, 6, 0)",1
"(3,4)",coarse,3,"(8, 8, 8, 0)",17
"(3,4)",coarse,3,"(10, 4, 4, 0)",2
"(3,4)",coarse,3,"(10, 6, 4, 0)",2
"(3,4)",coarse,3,"(10, 6, 6, 0)",10
"(3,4)",coarse,3,"(10, 8, 8, 0)",1
"(3,4)",coarse,3,"(10, 10, 8, 0)",1
"(3,4)",coarse,3,"(10, 10, 10, 0)",1
"(3,4)",coarse,3,"(10, 13, 6, 0)",2
"(3,4)",coarse,3,"(10, 13, 13, 0)",3
"(3,4)",coarse,3,"(13, 1, 1, 0)",1
"(3,4)",coarse,3,"(13, 1, 13, 0)",1
"(3,4)",coarse,3,"(13, 3, 3, 0)",1
"(3,4)",coarse,3,"(13, 13, 1, 0)",1
"(3,4)",coarse,3,"(13, 13, 13, 0)",11
"(3,4)",coarse,4,"(1, 1, 1, 0)",6
"(3,4)",coarse,4,"(1, 1, 4, 0)",2
"(3,4)",coarse,4,"(1, 1, 14, 0)",1
"(3,4)",coarse,4,"(1, 4, 1, 0)",1
"(3,4)",coarse,4,"(1, 9, 9, 0)",1
"(3,4)",coarse,4,"(1, 14, 1, 0)",1
"(3,4)",coarse,4,"(1, 15, 15, 0)",1
"(3,4)",coarse,4,"(3, 9, 9, 0)",1
"(3,4)",coarse,4,"(4, 1, 1, 0)",1
"(3,4)",coarse,4,"(4, 1, 15, 0)",4
"(3,4)",coarse,4,"(4, 4, 1, 0)",1
"(3,4)",coarse,4,"(4, 4, 4, 0)",10
"(3,4)",coarse,4,"(4, 4, 8, 0)",1
"(3,4)",coarse,4,"(4, 4, 14, 0)",1
"(3,4)",coarse,4,"(4, 4, 15, 0)",1
"(3,4)",coarse,4,"(4, 5, 5, 0)",1
"(3,4)",coarse,4,"(4, 8, 8, 0)",4
"(3,4)",coarse,4,"(4, 9, 9, 0)",1
"(3,4)",coarse,4,"(4, 10, 10, 0)",1
