dataset,context_condition,run,MeanPolysemyRatio,MedianPolysemyRatio,GiniPolysemy,ACI,n_messages,Dataset,Context
"(3,4)",coarse,0,0.04188948306595366,0.010101010101010102,0.5851063829647556,0.3900709219858156,34,"D(3,4)",coarse
"(3,4)",coarse,1,0.03842345018815607,0.020202020202020204,0.5486153224033486,0.39690721649484534,51,"D(3,4)",coarse
"(3,4)",coarse,2,0.03256704980842912,0.010101010101010102,0.551631938024736,0.37967914438502676,58,"D(3,4)",coarse
"(3,4)",coarse,3,0.03535353535353535,0.010101010101010102,0.562857142841222,0.4642857142857143,40,"D(3,4)",coarse
"(3,4)",coarse,4,0.0336052836052836,0.010101010101010102,0.5267896842884593,0.3872832369942196,52,"D(3,4)",coarse
"(3,4)",mixed,0,0.01647043685260246,0.010101010101010102,0.2755274681361377,0.234375,157,"D(3,4)",mixed
"(3,4)",mixed,1,0.019904931669637554,0.015151515151515152,0.33084577112765734,0.263681592039801,102,"D(3,4)",mixed
"(3,4)",mixed,2,0.01492194674012856,0.010101010101010102,0.251180069913237,0.23461538461538461,176,"D(3,4)",mixed
"(3,4)",mixed,3,0.01782981328435874,0.010101010101010102,0.3349915463461486,0.30042918454935624,132,"D(3,4)",mixed
"(3,4)",mixed,4,0.013934525982718753,0.010101010101010102,0.22368074918161165,0.2314410480349345,166,"D(3,4)",mixed
"(3,4)",fine,0,0.010683760683760684,0.010101010101010102,0.051398601393790475,0.14545454545454545,104,"D(3,4)",fine
"(3,4)",fine,1,0.010971786833855801,0.010101010101010102,0.0737547892653084,0.16666666666666666,116,"D(3,4)",fine
"(3,4)",fine,2,0.011059500110595002,0.010101010101010102,0.080583941598553,0.17333333333333334,137,"D(3,4)",fine
"(3,4)",fine,3,0.011164274322169059,0.010101010101010102,0.0874060150297649,0.18452380952380953,152,"D(3,4)",fine
"(3,4)",fine,4,0.01116801821027173,0.010101010101010102,0.088678568216694,0.18471337579617833,142,"D(3,4)",fine
"(3,8)",coarse,0,0.03156602847324497,0.005154639175257732,0.6754054654307252,0.3094867807153966,35,"D(3,8)",coarse
"(3,8)",coarse,1,0.024727327058120422,0.006872852233676976,0.6889531065004448,0.3957703927492447,46,"D(3,8)",coarse
"(3,8)",coarse,2,0.013303392194889591,0.003436426116838488,0.7063634751691061,0.592071611253197,101,"D(3,8)",coarse
"(3,8)",coarse,3,0.01198902395240293,0.00429553264604811,0.6496368424711553,0.5272727272727272,134,"D(3,8)",coarse
"(3,8)",coarse,4,0.015904484976649924,0.003436426116838488,0.7243057034845396,0.5858725761772853,78,"D(3,8)",coarse
"(3,8)",mixed,0,0.00430965846341927,0.003436426116838488,0.36691128122883376,0.25744934445768775,669,"D(3,8)",mixed
"(3,8)",mixed,1,0.005208862861519482,0.003436426116838488,0.42803483814234417,0.2986337020169161,507,"D(3,8)",mixed
"(3,8)",mixed,2,0.005463847251210479,0.003436426116838488,0.39321405315037183,0.2765273311897106,489,"D(3,8)",mixed
"(3,8)",mixed,3,0.0029111341561777727,0.001718213058419244,0.28742770010768925,0.24272409778812573,1014,"D(3,8)",mixed
"(3,8)",mixed,4,0.003687691682370765,0.001718213058419244,0.3682968085712338,0.28857715430861725,930,"D(3,8)",mixed
"(3,8)",fine,0,0.002925606018389524,0.001718213058419244,0.2938609162094516,0.25056689342403626,518,"D(3,8)",fine
"(3,8)",fine,1,0.0025675570134333025,0.001718213058419244,0.24115861552999454,0.22908745247148288,704,"D(3,8)",fine
"(3,8)",fine,2,0.0020409610053318712,0.001718213058419244,0.13705395329012038,0.19469835466179158,921,"D(3,8)",fine
"(3,8)",fine,3,0.0030406234658811983,0.001718213058419244,0.288955960694935,0.23814328960645811,560,"D(3,8)",fine
"(3,8)",fine,4,0.003998890481253757,0.003436426116838488,0.34692881265247144,0.2514450867052023,446,"D(3,8)",fine
"(3,16)",coarse,0,0.008447741529801028,0.0003817765334690761,0.7994702753881744,0.5804164820558263,136,"D(3,16)",coarse
"(3,16)",coarse,1,0.003770355176939699,0.0005090353779587681,0.7930527437197944,0.7160820648577101,408,"D(3,16)",coarse
"(3,16)",coarse,2,0.004910637090804529,0.0005090353779587681,0.8193014246185338,0.7647873392680514,262,"D(3,16)",coarse
"(3,16)",coarse,3,0.006911386792995016,0.0005090353779587681,0.8270786868721077,0.7816583511522927,155,"D(3,16)",coarse
"(3,16)",coarse,4,0.005332751578615666,0.0007635530669381522,0.7969267645459199,0.7225206611570248,231,"D(3,16)",coarse
"(3,16)",mixed,0,0.0012565713834352865,0.0007635530669381522,0.5278930560637004,0.3819626331412607,2320,"D(3,16)",mixed
"(3,16)",mixed,1,0.0020624915784588204,0.0010180707559175363,0.5698241136511344,0.38492063492063494,1275,"D(3,16)",mixed
"(3,16)",mixed,2,0.0006363865393468931,0.0005090353779587681,0.3949997282718571,0.2992674258359324,5514,"D(3,16)",mixed
"(3,16)",mixed,3,0.0014658280788588717,0.0007635530669381522,0.5272181996573545,0.36992027999222243,1786,"D(3,16)",mixed
"(3,16)",mixed,4,0.001122129334142569,0.0007635530669381522,0.5076936157978391,0.36325569222716564,2600,"D(3,16)",mixed
"(3,16)",fine,0,0.0011653531769824147,0.0007635530669381522,0.4903557795771323,0.34592833876221496,1341,"D(3,16)",fine
"(3,16)",fine,1,0.0009723556458398221,0.0007635530669381522,0.4387112790231169,0.30161054172767204,1609,"D(3,16)",fine
"(3,16)",fine,2,0.0008555671275929146,0.0005090353779587681,0.441490303215174,0.3177872590848904,2022,"D(3,16)",fine
"(3,16)",fine,3,0.0013577044746534842,0.0007635530669381522,0.5377660870766642,0.38073394495412843,1226,"D(3,16)",fine
"(3,16)",fine,4,0.001296893737718375,0.0007635530669381522,0.5000653053727881,0.3408769448373409,1110,"D(3,16)",fine
