Dataset,Context,MeanPolysemyRatio_mean,MeanPolysemyRatio_std,MedianPolysemyRatio_mean,MedianPolysemyRatio_std,GiniPolysemy_mean,GiniPolysemy_std,ACI_mean,ACI_std,n_messages_mean,n_messages_std
"D(3,4)",coarse,0.03636776040427156,0.003801993332185679,0.012121212121212123,0.004517309045454122,0.5550000941045043,0.021307621000658517,0.4036452468291243,0.03445656350134753,47.0,9.746794344808965
"D(3,4)",mixed,0.016612330905889212,0.0023649341897867063,0.011111111111111112,0.0022586545227270606,0.28324512094095844,0.048936587758351094,0.2529084418478953,0.02963635925142369,146.6,29.795972882253736
"D(3,4)",fine,0.011009468032130456,0.00019944391742110699,0.010101010101010102,0.0,0.07636438310082215,0.015177793819158058,0.17093834615490666,0.0161842791308149,130.2,19.67739820199815
"D(3,8)",coarse,0.019498051331061566,0.008376371679674786,0.004639175257731959,0.0014375601830482396,0.6889329186111942,0.028645384483014572,0.4820948176335701,0.12465071456166082,78.8,40.41905491225642
"D(3,8)",mixed,0.004316238882939553,0.0010586803947005843,0.00274914089347079,0.0009411040506961616,0.36877693624009455,0.05179305221568932,0.27278232595221147,0.022750784125781482,721.8,240.75443921140894
"D(3,8)",fine,0.002914727596857931,0.000720307701655356,0.002061855670103093,0.0007684082396906493,0.26159165167539455,0.07905645003814384,0.2327882153737942,0.023223749677039142,629.8,188.05371573037317
"D(3,16)",coarse,0.005874574433831188,0.0018266536795931575,0.0005344871468567065,0.0001394050795380927,0.8071659790289061,0.015058500522565639,0.7130929796981811,0.07917446843585603,238.4,108.18641319500337
"D(3,16)",mixed,0.001308681382848488,0.0005201976476751699,0.0007635530669381522,0.0001799711838092511,0.5055257426883771,0.06581382727448833,0.3598653332234433,0.03500272016300204,2699.0,1653.7088619221945
"D(3,16)",fine,0.001129574832557402,0.00021278917653923973,0.0007126495291422754,0.00011382377080681036,0.4816777508529751,0.04189409401468479,0.33738740587324934,0.030117256802795884,1461.6,363.8162997997753
"D(4,4)",coarse,0.010595977284051022,0.001821109734206753,0.004008016032064128,0.001417047657688472,0.6544922073756998,0.024705067711228695,0.5825014647376902,0.026964794379047308,196.2,53.653518057998774
"D(4,4)",mixed,0.002918549246895222,0.0003253923772704351,0.002004008016032064,0.0,0.24257392871474068,0.0486238598101342,0.24061524293349573,0.024372649020744545,1174.6,256.1021280661291
"D(4,4)",fine,0.0023620992249978852,0.00016269888245550496,0.002004008016032064,0.0,0.1292724103794369,0.048301606535474995,0.1943059529953564,0.020002281672302186,1201.0,200.56794360016755
"D(4,8)",coarse,0.0021725765033755702,0.00022083038185956162,0.00038109756097560977,0.0,0.7817751518854579,0.014347383578398243,0.7035993657174586,0.02304995850720452,999.8,131.3000380807256
"D(4,8)",mixed,0.000522810760285335,4.9487647732753314e-05,0.00038109756097560977,0.0,0.41913629790132756,0.035366668991543136,0.3196456853427685,0.037163288458710204,7125.6,1010.2758534182631
"D(4,8)",fine,0.00042234668674621305,8.713626353745685e-05,0.0003048780487804878,0.00010436786537827098,0.3703363337037518,0.06568230067373845,0.29929692871416796,0.03819338415880183,5214.4,823.3464034050312
"D(5,4)",coarse,0.001994809544956354,0.00017341779794452904,0.0006402561024409765,0.00021917669367953828,0.6665055940650048,0.02310481239187215,0.5899657101239583,0.02471905007159147,1765.2,328.49231345649474
"D(5,4)",mixed,0.0006107482077459567,0.00011712916767141166,0.00040016006402561027,0.0,0.25250872485829984,0.07753033674897905,0.2447725039309022,0.03958449858870268,5928.8,1155.4556244183505
"D(5,4)",fine,0.0005094161133298022,6.847871906759504e-05,0.00040016006402561027,0.0,0.16806028931930322,0.06206230868727088,0.21065058573326706,0.0237995356449517,4711.6,1691.9281308613554
