Dataset,Context,MeanPolysemyRatio,MedianPolysemyRatio,GiniPolysemy,ACI,n_messages
"D(3,4)",coarse,0.036368 ± 0.003802,0.012121 ± 0.004517,0.555 ± 0.021,0.404 ± 0.034,47.0 ± 9.7
"D(3,4)",mixed,0.016612 ± 0.002365,0.011111 ± 0.002259,0.283 ± 0.049,0.253 ± 0.030,146.6 ± 29.8
"D(3,4)",fine,0.011009 ± 0.000199,0.010101 ± 0.000000,0.076 ± 0.015,0.171 ± 0.016,130.2 ± 19.7
"D(3,8)",coarse,0.019498 ± 0.008376,0.004639 ± 0.001438,0.689 ± 0.029,0.482 ± 0.125,78.8 ± 40.4
"D(3,8)",mixed,0.004316 ± 0.001059,0.002749 ± 0.000941,0.369 ± 0.052,0.273 ± 0.023,721.8 ± 240.8
"D(3,8)",fine,0.002915 ± 0.000720,0.002062 ± 0.000768,0.262 ± 0.079,0.233 ± 0.023,629.8 ± 188.1
"D(3,16)",coarse,0.005875 ± 0.001827,0.000534 ± 0.000139,0.807 ± 0.015,0.713 ± 0.079,238.4 ± 108.2
"D(3,16)",mixed,0.001309 ± 0.000520,0.000764 ± 0.000180,0.506 ± 0.066,0.360 ± 0.035,2699.0 ± 1653.7
"D(3,16)",fine,0.001130 ± 0.000213,0.000713 ± 0.000114,0.482 ± 0.042,0.337 ± 0.030,1461.6 ± 363.8
"D(4,4)",coarse,0.010596 ± 0.001821,0.004008 ± 0.001417,0.654 ± 0.025,0.583 ± 0.027,196.2 ± 53.7
"D(4,4)",mixed,0.002919 ± 0.000325,0.002004 ± 0.000000,0.243 ± 0.049,0.241 ± 0.024,1174.6 ± 256.1
"D(4,4)",fine,0.002362 ± 0.000163,0.002004 ± 0.000000,0.129 ± 0.048,0.194 ± 0.020,1201.0 ± 200.6
"D(4,8)",coarse,0.002173 ± 0.000221,0.000381 ± 0.000000,0.782 ± 0.014,0.704 ± 0.023,999.8 ± 131.3
"D(4,8)",mixed,0.000523 ± 0.000049,0.000381 ± 0.000000,0.419 ± 0.035,0.320 ± 0.037,7125.6 ± 1010.3
"D(4,8)",fine,0.000422 ± 0.000087,0.000305 ± 0.000104,0.370 ± 0.066,0.299 ± 0.038,5214.4 ± 823.3
"D(5,4)",coarse,0.001995 ± 0.000173,0.000640 ± 0.000219,0.667 ± 0.023,0.590 ± 0.025,1765.2 ± 328.5
"D(5,4)",mixed,0.000611 ± 0.000117,0.000400 ± 0.000000,0.253 ± 0.078,0.245 ± 0.040,5928.8 ± 1155.5
"D(5,4)",fine,0.000509 ± 0.000068,0.000400 ± 0.000000,0.168 ± 0.062,0.211 ± 0.024,4711.6 ± 1691.9
