message,concepts
"(2, 2, 8, 0)","[(0, 6, 14)]"
"(2, 8, 2, 0)","[(5, 6, '?')]"
"(3, 1, 18, 0)","[(13, '?', '?'), (13, '?', '?'), (13, '?', '?'), (13, '?', '?')]"
"(3, 1, 31, 0)","[(13, '?', 4), (6, '?', 4), (13, '?', 4), (6, '?', 4), (6, '?', 12), (6, '?', 4), (6, '?', 12), (6, '?', 12), (13, '?', 4), (13, '?', 4), (6, '?', 12), (13, '?', 4), (6, '?', 4), (6, '?', 12), (13, '?', 4), (6, '?', 12), (6, '?', 4), (13, '?', 4), (6, '?', 4), (6, '?', 12), (6, '?', 4)]"
"(3, 1, 34, 0)","[(14, 1, 12), (14, '?', 4), (7, 0, 12), (7, 1, 12), (7, 1, 12), (7, 5, 4), (7, 0, 4), (7, 0, 12), (14, 1, 12), (7, 0, 4), (7, 5, 12), (7, 5, 12), (14, 0, 12), (7, 0, 4), (7, 0, 4), (7, 5, 4), (14, 0, 12), (7, 0, 4), (7, 0, 12)]"
"(3, 1, 35, 0)","[(6, 0, 12), (13, 0, 12), (13, 0, 12), (13, 5, 12), (13, 5, 12), (13, 0, 4)]"
"(3, 1, 36, 0)","[(7, '?', 12), (7, 5, 4), (14, '?', 4), (7, '?', 4), (14, '?', 4), (14, '?', 4), (7, 5, 4), (7, '?', 12), (14, 5, 4), (14, '?', 4), (7, '?', 4), (7, '?', 12), (7, '?', 12), (7, '?', 12), (7, '?', 4), (14, '?', 4), (7, '?', 4), (7, '?', 4), (14, 1, 12), (14, '?', 4), (14, '?', 4), (7, '?', 12), (14, '?', 4), (7, '?', 4), (7, '?', 12)]"
"(3, 2, 2, 0)","[(4, 0, '?'), (1, 5, '?'), (9, 1, '?'), (9, 1, '?'), (4, 0, '?'), (9, 0, '?'), (4, 1, '?'), (9, 0, '?'), (4, 1, '?'), (9, 1, '?'), (1, 5, '?'), (1, 0, '?'), (9, 5, '?'), (9, 0, '?'), (9, 1, '?'), (9, 0, '?'), (4, 1, '?'), (1, 0, '?'), (9, 1, '?'), (4, 1, '?'), (9, 5, '?'), (4, 5, '?'), (1, 0, '?'), (1, 5, '?'), (4, 0, '?'), (4, 1, '?'), (9, 0, '?'), (4, 0, '?'), (9, 5, '?'), (9, 0, '?'), (9, 5, '?'), (9, 5, '?'), (9, 1, '?'), (1, 5, '?'), (9, 5, '?'), (1, 0, '?'), (1, 0, '?'), (9, 1, '?'), (1, 0, '?'), (9, 1, '?'), (1, 5, '?'), (9, 0, '?'), (4, 1, '?')]"
"(3, 2, 28, 0)","[(9, 5, 4)]"
"(3, 3, 16, 0)","[(13, 13, '?'), (13, 13, '?'), (6, 10, '?'), (13, 13, '?'), (13, 3, '?'), (13, 3, '?'), (13, 2, '?'), (6, 11, '?'), (6, 3, '?')]"
"(3, 3, 31, 0)","[(13, 10, 12)]"
"(3, 3, 47, 0)","[(3, '?', '?')]"
"(3, 4, 18, 0)","[(13, '?', 3), (13, '?', '?'), (13, '?', '?')]"
"(3, 4, 29, 0)","[(6, 15, '?'), (6, 15, '?'), (13, 15, '?'), (6, 15, 14), (13, 15, 14)]"
"(3, 4, 47, 0)","[(15, '?', '?'), (3, '?', '?'), (3, '?', '?'), (3, '?', '?')]"
"(3, 4, 49, 0)","[(13, '?', '?'), (13, '?', '?')]"
"(3, 8, 28, 0)","[(8, 6, 4)]"
"(3, 13, 2, 0)","[('?', 1, '?'), ('?', 5, '?'), ('?', 0, '?'), ('?', 5, '?'), ('?', 1, '?'), ('?', 0, '?'), ('?', 1, '?'), ('?', 5, '?'), ('?', 5, '?'), ('?', 0, '?'), ('?', 1, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 5, '?'), ('?', 5, '?'), ('?', 5, '?'), ('?', 0, '?'), ('?', 5, '?'), ('?', 0, '?'), ('?', 0, '?'), ('?', 1, '?'), ('?', 0, '?'), ('?', 5, '?')]"
"(3, 18, 10, 0)","[(13, 3, '?')]"
"(3, 18, 16, 0)","[(13, 13, '?'), (13, 10, '?'), (13, 3, '?'), (13, 13, '?'), (13, 13, '?'), (13, 3, '?'), (13, 11, 1), (13, 13, '?'), (13, 13, '?'), (13, 3, '?'), (6, 3, '?'), (13, 3, '?'), (13, 10, '?'), (13, 10, '?'), (6, 3, '?'), (13, 13, '?'), (13, 3, '?')]"
"(3, 18, 29, 0)","[(6, 15, '?')]"
"(3, 18, 31, 0)","[(13, 13, 12), (13, 10, 12), (6, 10, 12), (6, 10, 12), (13, 10, 12), (6, 10, 12), (13, 10, 12), (6, 3, 4), (13, 3, 4), (6, 10, 4)]"
"(3, 21, 16, 0)","[(6, 10, '?'), (6, 10, '?'), (13, 2, '?'), (13, 10, '?'), (6, 3, '?'), (6, 3, '?'), (13, 10, '?'), (6, 10, '?'), (6, 10, '?'), (6, 11, '?'), (13, 10, '?'), (6, 10, '?'), (6, 10, '?'), (6, 3, '?'), (6, 11, '?'), (6, 10, '?'), (13, 10, '?'), (13, 10, '?'), (13, 2, '?'), (6, 11, '?'), (13, 10, '?')]"
"(3, 21, 21, 0)","[(6, 4, '?')]"
"(3, 21, 26, 0)","[(13, 9, 12), (6, 9, 12), (6, 9, 12), (6, 9, 4), (13, 9, 12), (6, 9, 12), (6, 9, 12), (13, 9, 12), (13, 9, 12)]"
"(3, 21, 29, 0)","[(6, 15, 4), (6, 4, '?'), (6, 15, 5), (6, 4, '?'), (6, 15, '?'), (13, 15, '?'), (6, 4, '?'), (6, 15, '?'), (13, 15, '?'), (6, 15, '?'), (13, 15, '?'), (6, 15, '?'), (13, 15, '?'), (13, 15, '?'), (6, 4, '?')]"
"(3, 21, 31, 0)","[(6, 3, 4), (13, 11, 12), (13, 10, 4), (6, 13, 12), (6, 13, 4), (6, 13, 4), (6, 10, 4), (6, 3, 4), (6, 3, 12), (6, 3, 4), (6, 10, 12), (13, 10, 4), (6, 10, 12), (6, 10, 12), (13, 10, 4), (6, 2, 12), (13, 2, 12), (6, 3, 4), (6, 10, 4), (6, 3, 12)]"
"(3, 21, 34, 0)","[(14, 15, 12), (14, 8, 12)]"
"(3, 21, 36, 0)","[(14, 8, 12), (7, 4, 4), (14, 8, 4), (7, 15, 4)]"
"(3, 21, 48, 0)","[(13, 4, 12), (13, 8, 4), (13, 15, 4), (13, 15, 4), (6, 8, 4), (6, 8, 12), (6, 8, 4), (6, 4, 12), (13, 15, 4), (13, 8, 4), (13, 15, 4), (13, 15, 4), (6, 15, 4), (13, 4, 4), (13, 8, 4), (13, 8, 4), (6, 4, 12), (13, 4, 4), (6, 15, 12), (13, 4, 4), (13, 4, 12), (13, 4, 4), (13, 15, 4), (13, 8, 4), (6, 15, 12), (13, 15, 4), (6, 15, 4), (6, 4, 12), (6, 15, 4), (13, 15, 4), (6, 8, 4), (13, 4, 12), (13, 4, 4), (6, 8, 12), (6, 8, 12), (6, 8, 4), (6, 4, 12), (6, 8, 4), (6, 15, 4), (6, 8, 4), (6, 4, 12), (6, 8, 4)]"
"(3, 21, 51, 0)","[('?', 4, '?')]"
"(3, 25, 7, 0)","[(3, 1, '?'), (3, 1, '?'), (15, 5, '?'), (3, 1, '?'), (3, 1, '?'), (15, 5, '?'), (15, 5, '?'), (3, 1, '?'), (15, 5, '?'), (3, 1, '?'), (3, 1, '?'), (15, 5, '?'), (15, 5, '?')]"
"(3, 25, 35, 0)","[(3, 0, 4), (15, 0, 4)]"
"(3, 25, 47, 0)","[(15, 1, 13), (15, 5, '?'), (3, 1, '?'), (3, 1, '?'), (15, 5, '?'), (3, 1, '?')]"
"(3, 26, 26, 0)","[(6, 9, 4)]"
"(3, 28, 2, 0)","[(9, 1, 4), (9, 1, 4), (9, 1, 4), (9, 1, 4), (10, 1, 4), (9, 5, 4), (9, 1, 4), (9, 5, 12), (9, 1, 12), (9, 1, 4), (9, 1, 12), (9, 1, 4), (9, 5, 4), (9, 0, 12), (10, 0, 12), (1, 5, 12), (9, 5, 12), (9, 5, 4), (10, 1, 4), (10, 1, 4), (9, 0, 12), (9, 1, 4), (1, 1, 12), (10, 5, 12), (9, 1, 12), (10, 0, 12), (9, 5, 12), (10, 5, 12), (10, 1, 12), (10, 5, 12), (1, 5, 4), (9, 5, 12), (9, 5, 12), (1, 1, 12), (10, 1, 4), (1, 1, 12), (9, 1, 12), (1, 0, 4), (9, 5, 12), (9, 5, 12), (1, 5, 4), (9, 0, 12)]"
"(3, 28, 13, 0)","[('?', 0, 4), ('?', 1, 4), ('?', 0, 4), ('?', 5, 12), ('?', 0, 4), ('?', 1, 4), ('?', 0, 12), ('?', 1, 4), ('?', 1, 12), ('?', 1, 4), ('?', 5, 4), ('?', 0, 4), ('?', 1, 4), ('?', 1, 12), ('?', 1, 4), ('?', 0, 4), ('?', 0, 12), ('?', 0, 12), ('?', 0, 4), ('?', 5, 12), ('?', 0, 4), ('?', 0, 12), ('?', 1, 4), ('?', 0, 4), ('?', 0, 12)]"
"(3, 28, 16, 0)","[(10, 1, 12)]"
"(3, 28, 28, 0)","[('?', 1, 12), ('?', 0, 12), ('?', 5, 4), ('?', 1, 12), ('?', 5, 4), ('?', 5, 12), ('?', 5, 12), ('?', 0, 12), ('?', 1, 4), ('?', 1, 12), ('?', 0, 12), ('?', 1, 12), ('?', 1, 12), ('?', 5, 12), ('?', 0, 12), ('?', 5, 12)]"
"(3, 28, 32, 0)","[(9, 0, 12), (9, 0, 12), (1, 1, 12), (1, 5, 12), (4, 1, 12), (1, 1, 4), (9, 5, 4)]"
"(3, 28, 47, 0)","[(15, 0, 4), (3, 0, 12), (15, 0, 12), (3, 0, 12), (3, 0, 12), (3, 1, 12), (3, 5, 12), (3, 0, 4), (15, 5, 4), (15, 0, 12), (3, 1, 4), (3, 1, 12), (3, 5, 12), (3, 0, 12), (3, 0, 4), (3, 1, 12), (3, 0, 12), (3, 5, 12), (3, 1, 12), (3, 5, 12), (3, 1, 4), (3, 1, 4), (15, 0, 12), (15, 5, 4), (3, 5, 12), (15, 0, 12), (3, 1, 4), (15, 5, 4), (15, 5, 4), (3, 1, 4), (3, 1, 12), (3, 1, 12), (3, 5, 12), (3, 0, 12)]"
"(3, 28, 48, 0)","[(15, 5, 4), (3, 0, 4), (3, 5, 12), (15, 0, 4), (15, 0, 12), (3, 0, 4), (3, 1, 12), (3, 0, 12), (3, 0, 4), (15, 0, 4), (3, 0, 12), (15, 0, 4), (15, 5, 4), (15, 0, 4), (15, 0, 12)]"
"(3, 30, 5, 0)","[(6, 0, '?'), (13, 1, '?'), (6, 0, '?'), (6, 0, '?'), (13, 1, '?'), (13, 1, '?'), (13, 1, '?'), (13, 1, '?'), (13, 5, '?'), (13, 5, '?'), (6, 0, '?'), (13, 1, '?'), (13, 5, '?'), (6, 0, '?'), (13, 1, '?'), (13, 5, '?'), (13, 5, '?'), (13, 5, '?'), (6, 0, '?'), (13, 5, '?')]"
"(3, 30, 34, 0)","[(14, 1, 12), (7, 1, 12), (14, 0, 12), (7, 5, 4), (14, 5, 4), (14, 0, 12), (14, 1, 12), (7, 0, 12), (14, 0, 12), (7, 0, 12), (7, 0, 12), (7, 0, 12), (7, 5, 4), (7, 5, 12), (7, 0, 4), (7, 5, 4), (14, 5, 4), (7, 5, 12), (7, 5, 12), (14, 0, 12), (14, 1, 12), (14, 5, 4), (7, 1, 12), (7, 0, 12), (7, 0, 12), (14, 1, 12), (7, 1, 12), (14, 0, 12), (7, 1, 12), (7, 5, 12), (7, 0, 4), (7, 5, 12), (14, 1, 12), (7, 0, 4), (7, 5, 4)]"
