message,concepts
"(1, 1, 1, 0)","[(1, '?', 3), (1, '?', 3), (1, '?', 3), (1, '?', 3)]"
"(1, 1, 8, 0)","[(1, '?', 3)]"
"(1, 1, 15, 0)","[(1, '?', 3), (1, '?', 3), (1, '?', 3)]"
"(1, 6, 6, 0)","[(1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?'), (1, '?', '?')]"
"(1, 8, 12, 0)","[(1, 2, 3), (1, 2, 3), (1, 2, 3), (1, 2, 3), (1, 2, 3), (1, 2, 3)]"
"(1, 8, 14, 0)","[(1, 2, 3), (1, 2, 3)]"
"(1, 11, 11, 0)","[(1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2), (1, '?', 2)]"
"(1, 12, 12, 0)","[(1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3), (1, 0, 3)]"
"(2, 2, 2, 0)","[(0, 1, 2), (0, 1, 2), (0, 3, 2), (0, 3, 2), (0, 1, 2), (0, 3, 2), (0, 1, 2), (0, '?', 2), (0, 3, 2), (0, '?', 2), (0, '?', 2), (0, '?', 2), (0, 3, 2), (0, '?', 2), (0, 1, 2), (0, 1, 2), (0, '?', 2), (0, 3, 2), (0, 1, 2), (0, 3, 2), (0, 3, 2), (0, 3, 2), (0, 1, 2), (0, '?', 2), (0, '?', 2), (0, 1, 2)]"
"(2, 2, 5, 0)","[(2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2), (2, 3, 2)]"
"(2, 2, 6, 0)","[(2, 3, 3), (2, 3, 3), (2, 3, 3), (2, 3, 3), (2, 3, 3), (2, 3, 3), (2, 3, 3), (2, 3, 3)]"
"(2, 2, 14, 0)","[(0, '?', 3)]"
"(2, 2, 15, 0)","[(0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?'), (0, 3, '?')]"
"(2, 4, 11, 0)","[(2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3), (2, 0, 3)]"
"(2, 5, 5, 0)","[(2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?'), (2, 1, '?')]"
"(2, 5, 6, 0)","[(2, 3, 0), (2, 1, 0), (2, 1, 0), (2, 3, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0)]"
"(2, 5, 10, 0)","[(2, 3, 0)]"
"(2, 5, 11, 0)","[(2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]"
"(2, 5, 13, 0)","[(0, 1, 0), (0, 1, 0), (2, 3, 0), (2, 3, 0), (0, 1, 0), (0, 1, 0), (2, 3, 0), (2, 3, 0), (0, 1, 0), (0, 1, 0)]"
"(2, 6, 6, 0)","[(2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0), (2, '?', 0)]"
"(2, 7, 7, 0)","[(0, '?', 3), (0, '?', 3), (0, '?', 3)]"
"(2, 7, 8, 0)","[(0, '?', 3)]"
"(2, 7, 14, 0)","[(0, '?', 3), (0, '?', 3)]"
